Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2019-05-10,Chá de camomila,Pãofrancês c/doce de abóbora,Salada de frutas,Barreado,Farofa de banana,Gelado de abacaxi (creme de abacaxi),Alface crespa e beterraba ralada,Abobrinha recheada com trigo em grão,Coxa/sobrecoxa assada,Sopa creme de cenoura,Escarola e salada mista(?),Bolinho de feijãocavalo
2019-05-11,Chá de hortelã,Pão hot dog com presunto,Banana,Frango assado com molho curry,Cenoura na manteiga,Laranja,Escarola e berinjela na chapa ao vinagrete,Madalena de PTS,Picadinho,"Sopa camponesa(batata, chuchu, repolho, milho, macarrão)",Acelga e macarronese,Lentilha com arroz e cebola frita
2019-05-12,Chá de erva-cidreira,Pão hot dog com doce de maçã,Melancia,Costela assada,Espaguete ao sugo,Salada de frutas,Acelga e tomate,Croquete de lentilha,Bisteca ao molhocom abacaxi,"Sopa primavera(batata, chuchu, vagem, milho e arroz)",Agrião e berinjelana chapa,Torta de legumes com feijão branco
2019-05-13,Chá de morango,Pão hot dog com queijo,Maçã,"Bisteca ao molho do cheff(batata salsa, molho de soja)",Abobrinha colorida,Ponkan,Repolho verde e tomate,Soja ao molho do cheff,Lasanha à bolonhesa,"Sopa juliana(batata, cenoura, chuchu, vagem e macarrão)",Rúcula e beterraba cozida,Almôndega de PTS ao sugo
2019-05-14,Chá de maçã,Pão francês com presunto,Mamão,Quibe assado,Creme de milho,Gelatina de cereja,Rúculae rabanete,Quibe de berinjela com PTS,Espetinho de frango à milanesa,"Sopa londrina(carne, batata, cenoura, chuchu, ervilha, macarrão)",Alface crespa e berinjela na chapa ao vinagrete,Espetinho de legumes c/ bolinha de feijão fradinho
2019-05-15,Chá de erva-doce,Pão hot dog com doce de leite,Kiwi,Frango xadrez(molho escuro com tomate e pimentões),"Arroz chopsuey(apresuntado,ovos, vagem, cenoura, ervilha)",Banana surpresa,Alface crespa e berinjela na chapa,Grão de bico xadrez,Bife àmilanesa,"Sopa de fubá(costelinha, fubá e repolho)","Raditee salada tropical(cenoura, repolho, maçã e maionese)",Bolinho de feijão cavalo
2019-05-16,Chá de camomila,Pão francês com patê de queijo,Melancia,Estrogonofe de carne,Batata chips,Laranja,Raditee beterraba ralada,Estrogonofe de feijão branco,Pernil ao molho de mostarda,"Caldo verde(bacon, couve e batata)",Acelga e tomate,Trigo grão refogado com cenoura e vagem
2019-05-17,Chá de hortelã,Pão hot dog com doce de banana,Caqui,Frango assado com molho branco e bacon,"Repolho à portuguesa(tomate, azeitona verde, orégano)",Salada de frutas,Acelga e tomate,Ervilha seca acebolada,Cubos ao molho escuro (coxão mole),"Sopa de legumes(batata, cenoura, abobrinha, chuchu, tomate)",Escarola esalada caipira,"(agrião, rabanete, milho)Hambúrguer de grão de bico"
2019-05-18,Chá de erva-cidreira,Pão hotdog com presunto,Banana,Iscas de carne aceboladas,"Jardineira de legumes(batata, cenoura, vagem e abobrinha)",Gelflan,Escarola e pepino,Abóbora com trigo em grão e tempero verde,Filé de frango à canadense(molho branco com queijo parmesão),Sopa creme de abóbora,Rúcula e vagem,"Empadão de lentilha com legumes(cenoura, chuchu e brócolis)"
2019-05-19,Chá de morango,Pão hot dog com doce de abóbora,Laranja,Risoto de frango,Brócolis com couve-flor sautée,Caqui,Rúcula e berinjela ao vinagrete,Abobrinha recheada c/ lentilha,Churrasco,"Sopa califórnia com arroz (frango, cenoura, batata, abobrinha)",Repolho verde e beterraba cozida,Bolinho de PTS
2019-05-20,Chá de hortelã,Pão hotdog com presunto,Melão,Churrasco,Farofa completa com couve ,Escarola e cenoura ralada,Maçã,PTS ao sugo,Frango crocante,"Sopa juliana(batata, cenoura, chuchu, vagem, macarrão)",Almeirão e tomate,Feijão branco à chinesa
2019-05-21,Chá de erva-cidreira,Pão francês com doce de maçã,Banana,Frango assado/frito ao sugo,"Quibebe(abóbora vermelha, bacon)",Pudim de chocolate,Almeirão e beterraba ralada,Bolinho de feijão cavalo,Picadinho ao molho de ervilha,"Sopa minestrone I(batata, cenoura, chuchu e macarrão)","Agrião e salada lisboa (pepino, tomate, azeitona)","Lentilha com legumes(brócolis, cenoura, e milho)"
2019-05-22,Chá morango,Pão hotdog com patê de cenoura,Melancia,"Ensopado caipira (vagem, milho,tomate)",Bolinho de arroz,Gelatina colorida,Agrião e rabanete,Feijão fradinho c/ legumes,Peixe no fubá com raspas de limão,"Sopa leve(carne, batata, cenoura, arroz)",Couve e rabanete,Croquete de ervilha seca
2019-05-23,Chá de camomila,Pão francês c/ presunto,Ponkan,Peixe à milanesa c/ molho verde,"Legumes sautée(chuchu, cenoura, vagem)",Banana,Couve e tomate,Hambúrguer de feijão branco,Bolinho de carne,"Sopa caipira(frango, batata, abóbora, macarrão)",Repolho roxo e cenoura ralada,Bolinho de soja em grão
2019-05-24,Chá de maçã,Pão hotdogc/ queijo,Maçã,Moída refogada,Bobó de aipim,Sagu de vinho,Repolho roxo e pepino,Grão de bico ao sugo,Filé de frango ao molho de laranja,Sopa creme de ervilha,Alface americana e berinjela na chapa ao vinagrete,Nuggets de feijão fradinho
2019-05-25,Chá de morango,Pãohot-dog com doce de leite,Mamão,Filé de frango ao molho escuro,Chuchu com milho verde,Laranja,"Alface americanaetropical(cenoura, repolho, maçã e maionese)",Lentilha ao molho escuro,"Bife à pizzaiolo(queijo, presunto, orégano e tomate)","Sopa campestre(bacon, batata, vagem, abobrinha, macarrão)","Almeirão e salada russa(batata, beterraba, maionese)",Charutinho de repolho com trigo em grão
2019-05-26,Chá de erva-doce,Pão hot dog com patê de azeitona,Salada de frutas,Posta assada,Cuscuz,Pudim de baunilha,Almeirão e berinjela com TV,Torta de legumes com trigo em grão,Lasanha de frango,"Sopa de legumes c/ arroz(batata, abóbora, chuchu)","Alface lisae salada caipira (agrião, rabanete, milho)",Lasanha de abobrinha com PTS
2019-05-27,Chá de hortelã,Pão hot dog com queijo,Maçã,Bife acebolado,Quirera com costelinha,Ponkan,Acelga e beterraba ralada,Feijão cavalo acebolado,"Bisteca ao molho do cheff(batata salsa, molho de soja)",Sopa de feijão,Escarola e tomate,Lentilha com batata salsa
2019-05-28,Chá de erva-cidreira,Pão francês com presunto,Caqui,"Bisteca grelhada à cigana(apresuntado, tomate, ervilha em conserva)",Repolho refogado,Gelatina de uva,Escarola e cenoura ralada,Feijão fradinho à cigana,"Goulash(batata, cenoura, vagem, tomate, bacon)","Sopa de legumes (batata, abóbora, chuchu, arroz)",Alface roxa e abobrinha ralada ao vinagrete,Goulashvegano (c/ feijão branco e ingredientes do goulash)
2019-05-29,Chá morango,Pão hot dog com doce de banana,Melancia,"Picadinho especial(cenoura, tomate e milho)",Batata amassada c/ TV,Maçã,Alface epepino,Lentilha com arroz e cebola crocante,Frango ao curry,Sopa creme de cenoura,Almeirão e macarronese (s/ cenoura),Hambúrguer de soja
2019-05-30,Chá de camomila,Pão francês com queijo,Mamão,Frango ao sugo,Abobrinha colorida,Flan de baunilha com calda,Almeirão e tomate,Bolinho detrigo em grão,"Bife a gaúcha(bacon, ervilha em conserva, tomate, cebola)",Canja,Acelga e beterraba cozida,Grão de bico ao molho curry
2019-05-31,Chá de maçã,Pão hot dog com doce de leite,Laranja,Bife de panela,Polenta cremosa,Melancia,Acelga e berinjela na chapa ao vinagrete,Grão de bico ao sugo com pimentão,Peixe crocante (empanado em farinha de rosca temperada),Sopa de fubá com carne moída,"Agrião e tabule(pepino, tomate, alface, triguilho)",Kafta de PTS
