Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-05-01,Chá Maçã,Pão hot dogc/ doce de banana, Laranja,Frango assado/frito ao molho de mostarda,Abobrinha refogada,Surpresa de banana,Almeirão e mista cozida,Nuggets de ervilha,Almôndega chinesa,Sopa creme de milho,Repolho e rabanete,Almôndega de PTS com abóbora
2019-05-02,Chá de morango,Pão francês presunto,Banana,Carne moída ao sugo,Macarrão na manteiga,Gelatina miscelânea,Repolho e beterraba ral.,Trigo em grão ao sugo,Filé de frango acebolado,"Sopa minestronni II (batata, abobrinha, cenoura e macarrão)",Radite e berinjela na chapa,"Mix de grãos refogados (grão de bico, soja e lentilha)acebolado"
2019-05-03,Chá de erva doce,Pão hot dog com pate de azeitona,Salada de frutas,Filé de frango grelhado à milanesa,Creme de espinafre,Ponkan,Radite e pepino,Hambúrguer de soja,Cubos ao molho de mostarda,"Caldo italiano(frango, couve, cenoura e macarrão)",Alface e berinjela beterraba ralada,Charuto de ervilha seca
2019-05-04,Chá de hortelã,Pão francês com queijo,Mamão,Tirinhas de carne ao m escuro (coxão mole),Berinjela à dorê,Torta de amendoim,Alface e cenoura cozida,Bolinho de lentilha,Fricassê de frango,"Sopa leve(carne, batata, cenoura e arroz)",Repolho e chuchu com tomate,Torta de PTS com legumes
2019-05-05,Chá de erva cidreira,Pão francês com presunto,Banana,Copa lombo ao molho ferrugem,Virado de legumes,Laranja,Acelga e pepino com TV,Ervilha com legumes,Bife acebolado (coxão mole),"Sopa minestrone I (batata, cenoura, chuchu e macarrão)",Escarola e salpicão de legumes,Trigo em grão c/ legumes
2019-05-06,Chá de maçã,Pão francês com doce de leite,Abacaxi,"Bife à gaúcha(bacon, ervilha em conserva, tomate, cebola)",Batata doce sautée,Melancia, Escarola e cenoura ralada,Feijão branco à gaúcha,Pernil ao molho oriental,Sopa creme de espinafre,Acelga e tabule,Feijão fradinho ao molho oriental
2019-05-07,Chá de morango,Pão hotdog com queijo,Laranja,Cubos de frango ao molho de limão(sassami),"Jardineira de legumes(batata, cenoura, vagem e abobrinha)",Pudim napolitano,Acelga e tomate com cebola,Croquete de grão de bico,Panqueca de carne,"Sopa Califórnia (frango, cenoura, batata, abobrinha, macarrão)",Agrião e cenoura ralada,Panqueca de PTS com legumes
2019-05-08,Chá de erva-doce,Pão francês compatê de presunto,Maçã,"Carne moída mexicana (molho de pimenta, pimentão verde, pimentão vermelho)",Polenta cremosa,Morgote,Alface roxa e pepino,Feijão cavalo mexicano,Peixe assado ao molho (em camada),"Sopa eslava(carne, batata, cenoura, catchup e mostarda)",Couvee berinjela com vinagrete,Ervilha partida com molho de azeitona e pimentões
2019-05-09,Chá de maçã,Pão hot dog com queijo,Mamão,Peixe frito no fubá c/ limão,"Ratatouille(abobrinha, berinjela, acelga, pimentão verde, molho de soja)",Caqui,AgriãoeRabanete,Charuto de ervilha seca,Bife à rolê,"Sopa da casa(frango, batata, feijão branco, cenoura, chuchu e abobrinha)",Alface crespa e chuchu com milho verde e TV,Berinjela à rolê com pasta de grão de bico
