Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-06-01,Chá de morango,Pão francês com presunto,Banana,Peixe assado,Legumes refogados,Creme de chocolate,Agrião e pepino,Quibe de berinjela,Madalena de carne (moída),"Caldo italiano(frango, couve, cenoura e macarrão)",Escarola e cenoura cozida,"Madalena vegana (ervilha partida, cenoura e pimentão)"
2019-06-02,Chá de erva-doce,Pão hot dog com patê de azeitona,Abacaxi,Costela ao molho,Farofa rica,Maçã,"Couve e maionese(batata, maionese, azeitona)",Croquete de feijão cavalo ,Posta recheada (vagem e cenoura),Caldo de batata salsa(c/linguiça calabresa),Rúculae chuchu com milho verde,"Abobrinha recheada(tomate, cebola, trigo em grão)"
2019-06-03,Chá de hortelã,Pão hot dog com queijo,Caqui,Picadinho de Carne (paleta),Repolho refogado,Laranja,Escarola e beterraba ralada,PTS colorido (c/ pts.),Fricassê de frango,Sopa de lentilha,"Raditee salada Lisboa(pepino, tomate e azeitona)",Tomate recheado com feijão branco
2019-06-04,Chá de erva-cidreira,Pão francês com presunto,Ponkan,Frango (peito sem osso) à canadense(molho branco e tempero verde),Jardineira de legumes,Gelatina cereja,Radite e berinjela assado/na chapa,Croquete de abóbora com trigo em grão,"Bife suíno à cigana (apresuntado, ervilha e tomate)","Sopa de raízes(aipim, batata, batata salsa, cenoura, salsão)",Couvee abobrinha ralada,Feijão cavalo à cigana
2019-06-05,Chá morango,Pão hot dog com doce de maçã,Mamão,Bisteca ao molho do cheff(batata salsa e molho de soja),Quirera com bacon ,Melão fatiado,Acelga e cenoura ralada,Arroz c/ lentilha acebolada,Bife acebolado (coxão mole),"Caldo verde(Batata, couve, bacon)","Almeirão e macarronese(macarrão, cenoura, ervilha, tomate, maionese)",Almôndega de soja
2019-06-06,Chá de camomila,Pão francês com patê dequeijo,Kiwi,"Bife (coxão mole) à espanhola (pimentão, milho, ervilha, molho de soja)",Abóbora refogada,Pudim bicolor,Almeirão e tomate,Hambúrguer de feijão cavalo,"Frango crocante (coxa/sob) (no forno)(farinha de pão, e queijo ralado)","Sopa juliana com arroz (batata, cenoura, chuchu, vagem)",Mix de alface (crespa e roxa) e rabanete,Berinjela à rolê c/ creme de ervilha seca
2019-06-07,Chá de maçã,Pão hot dog com doce de leite,Banana,Frango c/ ervas(coxa/sob),Risoto de legumes,Mamão picado,Mix de alface (crespa e roxa) e pepino,Feijão branco refogado c/ ervas,Almôndega à chinesa,Sopa creme de milho,Agrião e cenoura cozida,Hambúrguer de PTS
2019-06-08,Chá de morango,Pão francês compatê de cenoura,Maçã,Quibe assado,Vagem alho e óleo,Gelatina miscelânea,Agrião e rabanete,Quibe de pts.,Empadão de frango,"Sopa húngara(macarrão, repolho, cenoura, bacon)",Escarola e beterrabacozida,Empadão de trigo em grão com legumes
2019-06-09,Chá de erva-doce,Pão hot dog com presunto,Melancia,"Frango à paulista (coxa/sob)(Bacon, pimentão, tomate, molho de soja)",Macarrão na manteiga,Caqui,Escarola e tomate,Soja à paulista,Bife à rolê (posta vermelha),Sopa caipira,"Almeirão e salada tropical(cenoura, repolho, maçã e maionese)",Abobrinha à rolê
2019-06-10,Chá de erva-cidreira,Pão francês compatê de azeitona,Banana,Churrasco,Virado de couve,Melancia,Repolho verde e beterraba ralada,Guisado de feijão fradinho,"Frango xadrez (sassami)(pimentões, tomate, cebola e molho de soja)","Sopaleve(arroz, batata, cenoura, carne)","Alface crespa salada caipira(agrião, rabanete, milho)",Soja xadrez
2019-06-11,Chá de morango,Pão hot dog com queijo,Mamão,Frango ao molho de curry (coxa/sob)(molho branco e curry),Chuchu c/ cenoura refogados,Pavê de chocolate,"Rúcula e tabule(Alface, tomate, pepino e farinha de quibe)",Grão de bico ao curry,"Picadinho especial(carne, cenoura, milho e molho cremoso)","Canja(arroz, batata, cenoura, frango)",Acelga e tomate,Picadinho especial c/ feijão cavalo
2019-06-12,Chá de erva-doce,Pão francês com doce de banana ,Melancia,Carne de panela (paleta),Batata doce assada (verificar se terá margarina),Ponkan,Acelga e berinjela ao vinagrete,Soja ao sugo,Peixe no fubá c/ limão,"Sopa campestre(bacon, batata, vagem, abobrinha, macarrão)",Agrião e cenoura ralada,Croquete de ervilha seca
2019-06-13,Chá de maçã,Pão hot dog com patê de frango,Caqui,Peixe à milanesa c/ molho tártaro,Abobrinha refogada,Sagu de vinho,Agrião e Rabanete,Bolinho de chuchu (c/ feijão branco),Bife de panela (posta vermelha),Sopa creme de espinafre,Alface americana e couve flor ao vinagrete,Hambúrguer de lentilha
2019-06-14,Chá de camomila,Pão francês com doce de abóbora,Salada de frutas ,"Bife a fantasia (coxão mole)(milho, ervilha e tomate)","Bobó de aipim(aipim, bacon)","Espuma de morango(gelatina, pudim de baunilha)",Alface americana e tomate,"Lentilha a fantasia (c/ milho, ervilha e tomate)",Panqueca de frango (peito com osso),"Sopa abóbora(macarrão, batata, abóbora)",Mista verde II (c/ rúcula) e beterraba ralada,Panqueca de PTS c/ legumes
2019-06-15,Chá de hortelã,Pão hot dog com presunto,Ponkan,Frango ao sugo (coxa/sob),Polenta frita,Maçã,Rúcula e cenoura ralada,Pimentão recheado com grão de bico,Posta assada recheada,Sopa de aipim,Couvee tomate,Torta de trigo em grão
2019-06-16,Chá de erva-cidreira,Pão hot dog com queijo,Melão,Bisteca ao molho oriental,Couve flor e brócolis refogados,Abacaxi ,Couvee beterraba ralada,PTS ao molho oriental,Lasanha à bolonhesa,"Sopa primavera(arroz, batata, cenoura, vagem, milho).",Repolho verde e berinjela ao vinagrete,Lasanha de abobrinha c/ soja em grão
2019-06-17,Chá de morango,Pão hot dog com presunto,Maçã,Carne moída ao sugo,Macarrão ao alho e óleo,Mamão fatiado,Escarola e pepino,Pts ao sugo,"Bife à gaúcha(ervilha, bacon, tomate)","Sopa da casa(batata, feijão branco, cenoura, chuchu, abobrinha e frango)",Agrião brócolis com couve flor,Nuggets de ervilha seca
2019-06-18,Chá de maçã,Pão francês com patê de queijo,Banana,Bife ao molho escuro (Coxão mole),Jardineira de legumes,Flan de baunilha c/ calda ,Agrião e rabanete,Grão de bico ao molho escuro,"Frango crocante(com farinha de pão, queijo ralado) (forno)","Sopalondrina(macarrão, batata, cenoura, chuchu, ervilha)",Alface crespae maionese de batata c/ TV,Pimentão recheado com lentilha
2019-06-19,Chá de erva-doce,Pão hot dog com doce de leite,Mamão ,Strogonoff de frango (sassami),Batata chips,Ponkan,Alface crespa e berinjela c/ orégano,Croquete de ervilha (seca),Picadinho de carne (paleta),"Soparaízes(aipim, batata, batata salsa, cenoura, salsão)","Radite e Natural (alface, pimentão, tomate, trigo p/ quibe, TV)",Grão de bico ao sugo
2019-06-21,Chá de hortelã,Pão hot dog compatê de frango,Laranja,Bisteca ao mol de pimentão,Creme de milho,Gelatina de cereja,Couve e abobrinha cozida,Feijão cavalo ao mol de pimentão,Espetinho de frango à milanesa (filé de frango),Sopa de feijão,Acelga e tomate ,Espetinho de PTS e legumes
2019-06-22,Chá de erva-cidreira,Pão francês com queijo,Banana,Frango assado c/ alecrim (coxa/sob),"Quibebe(abóbora, bacon)",Melancia,Acelga e rabanete,Almondegas de lentilha,Cubos ao m. escuro (coxão mole peça),Sopa de fubá,Rúcula e berinjela na chapa,Feijão branco ao molho escuro
2019-06-23,Chá de morango,Pão hot dog comdoce de maçã,Kiwi,Bife à role (posta verm.),Creme de ervilha seca,Banana,Rúcula e beterraba ,Torre de berinjela com pasta de grão de bico,Empadão de frango (peito com osso),"Sopa de legumes(batata, cenoura, chuchu, abobrinha, macarrão)",Alface americana e cenoura ralada,Empadão de soja em grão e legumes
2019-06-24,Chá de hortelã,Pão hot dog com queijo,Melão,Picadinho de carne ,Purê prático,Repolho verdee beterraba ralada,Banana,Feijão branco refogado alho e óleo,"Filé de frango à pizzaiolo (peito sem osso)(molho ao sugo, queijo e presunto)","Sopa leve(carne, batata, cenoura, arroz)",Almeirão e beterraba cozida,Hambúrguer de feijão fradinho
2019-06-25,Chá de erva-cidreira,Pão francês com presunto,Mamão,Frango frito/assado ao molho de mostarda (molho branco e mostarda) (coxa/sob),Abobrinha colorida,Salada de frutas c/ Kiwi,Almeirão e Chuchu c/ orégano,Bolinho de feijão fradinho,Bife à milanesa (patinho),"Sopa mineira(quirera, costelinha suína)",Escarola e tomate,Charuto de lentilha ao sugo
2019-06-26,Chá morango,Pão hot dog com doce de abóbora,Melancia,Tirinhas de carne ao molho escuro com champignon (coxão mole),"Repolho à portuguesa(c/ azeitona, orégano e tomate)",Caqui,Escarola e Beterraba ralada,Trigo em grão ao molho escuro com champignon,Quibe assado,"Sopa Califórnia(frango, cenoura, batata, abobrinha, macarrão)",Agrião ebrocolis c/ milho ,Quibe de abóbora c/ PTS
2019-06-27,Chá de maçã,Pão francês c/ patê de azeitona,Laranja,Carne moída com molho de ervilha,Bolinho de cenoura,Gelatina de limão,Agrião e tomate,Lentilha com molho de ervilha,"Peixe assado (tomate, cebola e azeitona)","Sopa eslava(carne, batata, cenoura, catchup e mostarda)",Repolho roxoe cenoura cozida,Abobrinha recheada c/ feijão cavalo
2019-06-28,Chá de camomila,Pão hot dog c/ queijo,Salada de frutas,Peixe frito (no fubá) c/ limão,Creme de espinafre,Torta de amendoim ,Repolho roxo e pepino,Croquete de grão de bico,Estrogonofe de carne (patinho),Batata chips,Alface crespa e abobrinha ralada ao vinagrete,Trigo em grão refogado
2019-06-29,Chá de morango,Pão francês com doce de leite,Mamão,"Bife à fantasia (coxão mole)(milho, ervilha e tomate)",Batata amassada ,Ponkan,Alface crespa e rabanete,Soja à fantasia,Rocambole de carne,"Sopa primavera(batata, chuchu, vagem, milho e arroz)","Almeirão e salada russa (batata, beterraba e maionese)","Torta de espinafre (c/ ervilha seca, cenoura e abobrinha)"
2019-06-30,Chá de erva-doce,Pão hot dog compresunto,Maçã,Posta ao molho sugo,"Ratatouille (abobrinha, berinjela, acelga, pimentão verde, molho de soja)",Canjica,Almeirão e cenoura ralada,Grão de bico ao sugo,Bife suíno acebolado,"Sopa de lentilha(Macarrão, lentilha, cenoura, batata, bacon)",Alface americanae tomate,Panqueca de PTS ao sugo
