Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-02-25,Chá de erva cidreira,Pão hot dog com margarina,Maçã,Bisteca ao m. do cheff (molho escuro com batata salsa),Laranja,Quirera com costelinha,Alface americana e beterraba ralada,Soja refogada,"Sopa Califórnia (frango, batata, cenoura e abobrinha)",Charutinho de repolho com lentilha,"Picadinho especial (molho com cenoura, tomate e milho)",Acelga e tomate
2019-02-26,Chá de camomila,Pão francês com presunto,Melancia,Bife de panela,Melão,Macarrão com brócolis,Acelga e cenoura ralada,Feijão cavalo ao alho e óleo,"Sopa leve (paleta bovina, batata cenoura e arroz)",Hamb g-bico c/ abóbora,Filé de frango ao molho de limão,Almeirão e Natural
2019-02-27,Chá Maçã,Pão hot dog c/ doce de abóbora,Laranja,Filé de frango à milanesa,Creme de abacaxi,Abobrinha refogada,Almeirão e tomate,Torre de berinjela (com ervilha seca),Sopa de legumes com arroz,Panqueca de triguilho,Panqueca de carne moída,Repolho bicolor e vagem
2019-02-28,Chá de morango,Pão francês com patê de frango,Banana,Carne moída ao sugo,Sagu de vinho,Purê prático,Repolho e beterraba ralada,Trigo em grão c/ PTS ao sugo,Sopa de mandioca,Pimentão recheado com grão-de-bico,"Frango à paulista (molho escuro com bacon, tomate e pimentão verde)",Radite e cenoura ralada
