Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-07-1,chá de camomila,pão hotdog com presunto , ,frango assado,quibebe,ponkã,alface e beterraba ralada,grão de bico ao m. oriental,"goulash batata, cenoura, vagem, bacon) ","sopa minestrone II(batata, abobrinha, cenoura e macarrão)",agrião e pepino,goulash vegano com feijão cavalo
2019-07-2,chá de morango,pão francês com doce de leite,mamão,picadinho de carne,batata doce c/ curry,gelatina de limão,couve e salada caipira,soja com legumes e couve-flor ao sugo,"frango crocante)(farinha de pão, e queijo ralado)",sopa de legumes com carne,almeirão e tomate,madealena com ervilha seca
2019-07-3,chá de erva-doce,pão de milho com patê de frango,kiwi,copa lombo ao molho do cheff,quirera com cheiro verde,banana,"almeirão e macarronese (macarrão, cenoura, ervilha, tomate, maionese) ",croquete de ervilha seca,almôndega ao sugo,"Canja (arroz, batata, cenoura, frango)",repolho verde e berinjela c/ orégano,almôndega de soja ao sugo
2019-07-4,chá mate,pão hotdog com queijo,melão,carne moída à mexicana (pimentão e pimenta) ,macarrão ao alho e óleo,arroz doce,repolho verde e cenoura ralada,PTS  à mexicana,espetinho de frango à milanesa,sopa creme de milho,alface roxa e chuchu,grão de bico ao molho oriental
2019-07-5,chá de erva-cidreira,pão francês com doce de maçã,abacaxi,filé ao molho mostarda,legumes refogados,sagu,alface roxa c/ rúcula e tomate,hambúrguer de feijão cavalo ,bife ao molho oriental,sopa de aipim s/ macarrão,escarola e beterraba ralada,espetinho de bolinha de feijão branco c/ legumes (s/ glúten-testar)
2019-07-6,chá de hortelã,pão hotdog com patê de cenoura,banana,bife acebolado,polenta vila rica,laranja,escarola e abobrinha cozida,lentilha com cebola crocante,copa lombo c/ abacaxi,"caldo verde(Batata, couve, bacon)",acelga e cenoura cozida,ervilha seca c/ legumes
2019-07-7,chá de maçã,pão de milho com presunto,ponkã,peixe c/ molho,batata amassada,gelatina miscelânea,acelga e berinjela ao vinagrete,abobrinha recheada com feijão fradinho,kafta de forno,"sopa primavera(arroz, batata, cenoura, vagem, milho)",alface americana e batata salsa c/ TV,escondidinho de PTS (aipim)
2019-07-8,chá de morango,pão francês com doce de banana,mamão,churrasco,virado de couve,maçã,escarola e cenoura ralada,soja acebolada,frango ao molho curry,sopa creme de ervilha (c/ bacon) ,alface roxa c/ agrião e tomate,torre de berinjela c/ pasta de feijão cavalo
2019-07-9,chá de erva-doce,pão hotdog com queijo,laranja,frango ao m. laranja,repolho à portuguesa,torta de bolacha,alface roxa e chuchu c/ tempero verde,hambúrguer de feijão branco,bife à rolê,"sopa da casa(batata, feijão branco, cenoura, chuchu, abobrinha e frango)",couve manteiga e beterraba cozida,tomate recheado com lentilha
