Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2019-07-10,chá de camomila,pão de milho com doce de abóbora,maçã,bife de panela,aipim sautée,mamão,couve manteiga e pepino,berinjela à rolê com pasta de lentilha,peixe no fubá c/ limão,creme de abóbora c/ curry,rúcula e cenoura ralada,trouxinha de repolho c/ ervilha seca
2019-07-11,chá de hortelã,pão francês com maionese caseira verde,salada de frutas,peixe à milanesa c/ molho rosée,"ratatouille(abobrinha, berinjela, acelga, pimentão verde, molho de soja)",kiwi,rúcula e tomate,madalena de batata c/ ervilha seca refogada,lasanha à bolonhesa,"sopa juliana com arroz (batata, cenoura, chuchu, vagem)","repolho verde e Lisboa (pepino, tomate e azeitona)",lasanha de abobrinha com PTS
2019-07-12,chá de maçã,pão hotdog com presunto,banana,quibe de forma,creme de espinafre,gelatina de morango,repolho verde e beterraba cozida,quibe de abóbora com PTS,frango chinês,"sopa londrina(carne bovina, macarrão, batata, cenoura, chuchu, ervilha)",alface americana e batata salsa c/ TV,hambúrguer de feijão fradinho
2019-07-13,chá mate,pão de milho com doce de leite,melão,fricassê de frango,arroz crocante,banana,alface americana e berinjela,fricassê de feijão fradinho (s/ glúten),posta recheada,"sopa caipira (frango, abóbora vermelha, batata e macarrão) ","agrião e  salada russa(batata, beterraba e maionese)","grão de bico c/ legumes (cenoura, vagem, tomate e cebola)"
2019-07-14,chá de erva-cidreira,pão de hotdog com patê de azeitona,creme de abacate,cubos ao molho escuro,purê de batata,flan de baunilha c/ calda,agrião e cenoura cozida,grão de bico ao m. escuro,frango ao sugo,"sopa de raízes(aipim, batata, batata salsa, cenoura, salsão)",repolho roxo e chuchu,panqueca de ervilha seca ao sugo
2019-07-15,chá de camomila,pão de milho com queijo,ponkã,bife à fantasia,abobrinha colorida,melão,acelga e tomate,hambúrguer de feijão cavalo,bisteca ao molho do cheff,"sopa mineira(quirera, costelinha suína)","alface crespa e tabule (s/ alface) (tomate, pepino e farinha para quibe) ",lentilha ao molho do cheff
2019-07-16,chá de erva-cidreira,pão francês com geléia,maçã,copa lombo acebolada,cenoura ao molho branco,gelatina de uva,mix de folhas e pepino,lentilha acebolada,picadinho especial,sopa de legumes ,rúcula e couve-flor,grão de bico c/ espinafre  ao alho e óleo
2019-07-17,chá de hortelã,pão hotdog com patê de presunto,salada de frutas,barreado,farofa simples,laranja,"rúcula e tropical(cenoura, repolho, maçã e maionese)",barreado de grão de bico c/ cominho,bife à milanesa,"caldo italiano(frango, couve, cenoura e macarrão)",escarola e cenoura cozida,hambúrguer de feijão branco (s/ glúten)
2019-07-18,chá de maçã,pão francês com doce de abóbora,banana,estrogonofe de carne,batata chips,maçã,escarola e chuchu ao vinagrete,estrogonofe de feijão branco (s/ glúten),frango ao molho de limão,"sopa eslava (carne, batata, cenoura, catchup e mostarda)",alface americana e tomate,charuto de feijão fradinho
2019-07-19,chá mate,pão hotdog com presunto,mamão,frango com ervas,abóbora refogada,creme de abacaxi,alface americana e brócolis,croquete de feijão fradinho,madalena de carne moída,sopa creme de espinafre,repolho verde e beterraba ralada,madelena de lentilha
2019-07-20,chá de erva-doce,pão de milho com patê de frango,abacaxi,costela assada,cuscuz,ponkã,repolho verde e cenoura ralada,trigo em grão com legumes,lombo ao molho ferrugem,"sopa primavera (batata, chuchu, vagem, milho e arroz)",radite e abobrinha cozida,feijão branco com brócolis
2019-07-21,chá de morango,pão hotdog com doce de maçã,kiwi,pernil na mostarda,couve refogada,gelatina de morango,"radite e tabule (Alface, tomate, pepino e farinha para quibe)",PTS na mostarda,bife à gaúcha (posta) ,"sopa minestrone I (batata, cenoura, chuchu e macarrão) ",agrião e brócolis c/ milho,almôndega de feijão cavalo
2019-07-22,chá de hortelã,pão francês com patê de queijo,banana,moída ao sugo,macarrão na manteiga,melão,acelga e beterraba ralada,soja ao sugo,peixe à milanesa c/ molho tártaro,"sopa leve( arroz, batata, cenoura, carne bovina)",alface bicolor e tomate,hambúrguer de ervilha seca (s/ glúten) 
2019-07-23,chá de maçã,pão de hotdog com presunto,melancia,peixe no fubá c/ limão,"brócolis, couve-flor e cenoura refogados",banana,alface e rabanete,tomate recheado com ervilha seca,bife à fantasia,"canja(arroz, batata, cenoura, frango)",repolho roxo e chuchu,abobrinha rechada com feijão branco e milho
2019-07-24,chá de erva-doce,pão francês com doce de leite,laranja,"bife à pizzaiolo (molho ao sugo, queijo e presunto)",purê prático,sagú,repolho e tomate,hambúrguer de feijão branco (s/ glúten),frango assado,creme de abóbora curry,"Rúcula e Natural(alface, pimentão, tomate, trigo p/ quibe, TV)",croquete de feijão fradinho
2019-07-25,chá de morango,pão milho com patê de cenoura,creme de abacate,cubos de frango com bacon e cebola,chuchu com tempero verde,pudim de chocolate,rúcula e cenoura ralada,PTS acebolada,carne de panela,"sopa de lentilha (Macarrão, lentilha, cenoura, batata, bacon)","agrião e macarronese(macarrão, cenoura, ervilha, tomate, maionese) ",grão-de-bico ao sugo
2019-07-26,chá mate,pão francês com doce de banana,maçã,"ensopado caipira(molho com extrato de tomate, vagem e milho em conserva)",polenta cremosa,laranja,agrião e berinjela,grão de bico caipira,empadão de frango,"sopa creme rio branco (batata salsa, couve e macarrão) ",almeirão e beterraba cozida,PTS (c/ os mesmos legumes do empadão)
2019-07-27,chá de erva-cidreira,pão hotdog com queijo,ponkã,frango ao curry,Batata doce sauté,ponkã,"almeirão e salpicão (batata, cenoura, tomate, vagem, salsão, ervilha conserva, milho e maionese) ",feijão fradinho ao curry,panqueca de carne,"sopa califórnia c/arroz (frango, cenoura, abobrinha e arroz) ",escarola e rabanete,panqueca de feijão cavalo 
2019-07-28,chá de camomila,pão milho com presunto,abacaxi,posta ao molho,legumes ao molho branco,mamão,escarola e abobrinha ao vinagrete,bolinho de feijão cavalo,bisteca acebolada,"sopa campestre(bacon, batata, vagem, abobrinha, macarrão)",alface americana e tomate,trigo em grão acebolado
2019-07-29,chá de maçã,pão de hotdog com queijo,mamão,bisteca à cigana,repolho refogado,laranja,alface e cenoura ralada,trigo em grão à cigana,"bife à espanhola (cx mole) (pimentão, milho, ervilha, molho de soja)","sopa da casa(batata, feijão branco, cenoura, chuchu, abobrinha e frango)",radite e beterraba ralada,Hamburger de PTS
2019-07-30,chá de erva-cidreira,pão francês com patê de frango,banana,bife acebolado (cx mole) ,jardineira de legumes,torta de amendoim,radite e tomate,mix de grãos acebolado,strogonoff de frango,batata chips,acelga e cenoura cozida,strogonoff de grão-de-bico
2019-07-31,chá de morango,pão de milho com presunto,salada de frutas,"frango xadrez (pimentões, tomate, cebola e molho de soja) ",berinjela à milanesa,ponkã/murgote,acelga e rabanete,grão de bico xadrez,bife à milanesa,sopa de aipim,couve manteiga e abobrinha ralada,charuto de lentilha
