Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-03-22,Chá de maçã,Pão francês com doce de leite ,Kiwi,Peixe assado ,Abobrinha c/ ervas,Melancia,Radite e tomate,Croquete de grão de bico,Nhoque à bolonhesa ,"Sopa de legumes (batata, abóbora, chuchu, tomate e arroz)","Rúcula e tropical  (maçã, cenoura, repolho e maionese) ",Nhoque vegano c/ PTS
2019-03-23,Chá de morango,Pão hot dog com margarina,Salada de frutas,Kafta assada ,Chuchu e cenoura refogados,Gelatina miscelânea ,Rúcula e beterraba cozida,Madalena recheada c/ ervilha seca,Frango assado c/ alecrim ,"Sopa mineira  (quirera, linguiça e costelinha)",Agrião e rabanete,Bolinho de feijão branco
2019-03-24,Chá mate,Pão hot dog com doce de abobora,Melão,Cubos ao molho escuro ,Vagem ao alho e óleo,Pavê de bolacha ,Agrião e cenoura cozida,Chuchu recheado c/lentilha,Lombo com abacaxi ,"Sopa londrina  (paleta bovina, batata, cenoura, chuchu, ervilha e macarrão","Escarola e tabule (alface, pepino, tomate e farinha para quibe)",Grão-de-bico com abacaxi grelhado no shoyo
2019-03-25,Chá de camomila,Pão francês com presunto ,Maçã,Bisteca à cigana  (molho com ervilha e apresuntado),Quirera com TV,Laranja,"Escarola e camponesa (repolho, tomate e azeitona)",Feijão cavalo à cigana,Frango ao molho de laranja ,"Sopa eslava    (paleta bovina, batata, cenoura, tomate, catchup e mostarda)",Alface crespa e berinjela ao vinagrete,Abobrinha recheada com feijão fradinho
2019-03-26,Chá de erva doce,Pão de hot dog com margarina,Salada de frutas,"Frango à paulista  (molho escuro com bacon, tomate e pimentão verde)",Creme de cenoura ,Banana surpresa,Alface crespa e beterraba ralada,Nuggets de lentilha,Bife ao molho de bacon e cenoura ,"Sopa Califórnia  (frango, batata, cenoura e abobrinha)",Almeirão e tomate,Hambúrguer de feijão branco ao sugo
2019-03-27,Chá de erva cidreira,Pão francês com doce de leite ,Mamão,Bife acebolado  ,"Risoto de legumes (cenoura, vagem, milho, ervilha e tomate)",Gelatina de limão,Almeirão e abobrinha c/ tomate,Almôndegas de abóbora com soja em grão,Filé de frango grelhado ao molho curry ,"Sopa de aipim  (aipim, batata, tomate e macarrão)",Acelga e cenoura ralada,Tomate recheado com grão de bico
2019-03-28,Chá de morango,Pão hot dog com queijo ,Melão,Sassami à milanesa ,Abóbora refogada,Melancia,Acelga e tomate,Hambúrguer de PTS,"Bife à pizzaiolo   (queijo, tomate e orégano)","Sopa da casa  (frango, feijão branco, batata, cenoura, chuchu e abobrinha)",Couve e chuchu c/ milho,Berinjela à rolê c/ ervilha seca
2019-03-29,Chá de hortelã,Pão francês com doce de maçã,Banana,Bife de panela ,Batata sautée,Sagu de vinho,Couve e mista de legumes (cenoura com chuchu),Barreado vegano (com feijão fradinho),Almôndega chinesa ,"Sopa caipira   (frango, batata, abóbora, tomate e macarrão)",Rúcula e pepino,Lentilha com arroz e cebola crocante
2019-03-30,Chá mate,Pão de hot dog com margarina,Creme de abacate,Lasanha à bolonhesa ,Abobrinha colorida,Kiwi,Rúcula e berinjela c/ ervas,Lasanha de berinjela,Frango ao molho oriental  (molho de soja),"Sopa Minestrone I  (batata, cenoura, tomate, chuchu e macarrão)",Escarola e cenoura ralada,Panqueca de trigo em grão c/legumes
2019-03-31,Chá de maçã,Pão hot dog com doce de banana,Melancia,Frango assado c/ molho branco ,Anéis de cebola ,Salada de fruta,"Escarola e Istambul (pepino, tomate e azeitona)",Abobrinha à rolê c/ grão de bico ,Bife acebolado ,"Sopa creme de milho   (milho em conserva, leite, farinha de trigo)",Alface americana e beterraba ralada,Croquete de feijão cavalo
