Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-10-7,chá de camomila,pão hotdog com presunto,maçã,bisteca ao molho do cheff (batata salsa e molho de soja),quirera com costelinha,melão,alface e beterraba ralada,grão de bico ao molho do cheff (batata salsa e molho de soja),"ensopado caipira (carne bovina, tomate, vagem, milho)","sopa creme de abóbora com curry (abóbora, batata, tomate, curry)",agrião e pepino,"feijão cavalo caipira (tomate, vagem, milho)"
2019-10-8,chá de morango,pão francês com doce de leite,mamão,picadinho de carne (carne bovina com molho de tomate),batata doce com curry ,gelatina de limão,"couve e salada caipira (agrião, rabanete, milho)",soja com legumes e couve-flor ao sugo,espetinho de frango à milanesa,"sopa de carne com legumes (carne bovina, batata, cernoura, chuchu, tomate, macarrão) ",almeirão e tomate,lentilha acebolada
2019-10-9,chá de erva-doce,pão de milho com patê de frango,Laranja,frango assado,"quibebe (abóbora, bacon)",banana,"almeirão e macarronese (macarrão, tomate, cenoura, ervilha, azeitona, maionese)",croquete de ervilha    seca,bife ao molho oriental (molho de soja),"canja (frango, batata, cenoura, tomate, arroz)",repolho verde e berinjela com orégano,grão de bico ao molho oriental (molho de soja)
2019-10-10,chá mate,pão hotdog com          queijo,melão,quibe de forma,"creme de espinafre (molho branco, espinafre)",abacaxi,repolho verde e cenoura ralada,quibe de abóbora com    PTS,frango crocante (passado na farinha de rosca e queijo parmesão),"sopa creme de milho (molho branco, milho)","alface roxa e tabule (pepino, tomate, farinha de quibe) (Obs: tabule sem alface)","espetinho de bolinha de feijão branco com legumes (pimentão verde, pimentão vermelho, cebola, berinjela) (s/ glúten-testar)"
2019-10-11,chá de erva-cidreira,pão francês com doce de maçã,murgote,filé de frango ao molho mostarda,"legumes refogados (chuchu, cenoura, vagem)",sagu,alface roxa com rúcula e tomate,hambúrguer de feijão cavalo (s/ glúten),almôndega ao sugo,"sopa de aipim (aipim, batata, tomate)   (Observação: s/ macarrão",escarola e beterraba ralada,almôndega de soja ao sugo (s/ glúten)
2019-10-12,chá de hortelã,pão hotdog com patê de cenoura,banana,bife acebolado,"polenta vila rica (ervilha, tomate,         apresuntado)",laranja,escarola e abobrinha cozida,lentilha com cebola crocante,lombo com abacaxi,"caldo verde (coube, batata, tomate, bacon)",acelga e cenoura cozida ,"ervilha seca com legumes (couve-flor, abóbora)"
2019-10-13,chá de maçã,pão de milho com presunto,Melancia,"peixe com molho (tomate, azeitona e pimentão)",batata amassada,gelatina miscelânea ,acelga e berinjela ao vinagrete,abobrinha recheada com feijão fradinho,escondidinho de carne,"sopa primavera (batata, tomate, chuchu, vagem, milho, arroz)",alface americana e vagem ao vinagrete,escondidinho de PTS (aipim)
2019-10-14,chá de morango,pão francês com doce de leite,mamão,churrasco,"virado de couve (farinha de mandioca, farinha de milho, azeitona, tomate, ovos)",maçã,escarola e cenoura ralada,soja acebolada,frango ao molho          curry,"sopa creme de ervilha (batata, ervilha seca, tomate, bacon)",alface roxa com agrião e tomate,torre de berinjela com pasta de feijão cavalo
2019-10-15,chá de erva-doce,pão hotdog com queijo,laranja,frango ao molho de laranja,"repolho à portuguesa (tomate, azeitona, orégano)",torta de bolacha,alface roxa e chuchu com tempero verde,hambúrguer de feijão branco,"bife à rolê (molho de tomate, bacon, cenoura e cebola)","sopa de legumes (batata, abóboa, chuchu, tomate, arroz)",radite e beterraba cozida,tomate recheado com lentilha
