Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2019-10-16,chá de camomila,pão de milho com doce de banana,maçã,bife de panela (carne bovina ao molho de tomate),aipim sautée,mamão,radite e pepino,berinjela à rolê com pasta de lentilha,peixe no fubá com limão,"londrina (carne bovina, batata, cenopura, chuchu, tomate, macarrão)",rúcula e cenoura ralada,trouxinha de repolho com grão-de-bico (Observação: sem arroz)
2019-10-17,chá de hortelã,pão francês com maionese caseira verde,salada de frutas,peixe à milanesa com molho rosée,"couve-flor, brócolis e cenoura refogados",melancia,rúcula e tomate,madalena de batata com ervilha seca refogada,carne moída refogada,"sopa de raízes (aipim, batata, batata salsa, cenoura, tomate)",couve e vagem com milho ,PTS ao sugo
2019-10-18,chá de maçã,pão hotdog com presunto,banana,carne moída à mexicana (pimentão e pimenta),macarrão ao alho e óleo,gelatina de morango,couve e beterraba cozida,PTS  à mexicana (pimentão e pimenta),"frango chinês (molho de soja, acelga, brócolis, cenoura, vagem, tomate, cebola)","sopa creme de cebola (molho branco, cebola)",alface americana e batata salsa com tempero verde,hambúrguer de feijão fradinho
2019-10-19,chá mate,pão de milho com doce de abóbora,melancia,fricassê de frango (molho branco de tomate com molho branco com milho),"arroz crocante (cenoura, ervilha e batata palha)",banana,alface americana e berinjela,fricassê de feijão fradinho (s/ glúten),"posta recheada (carne bovina, bacon e cenoura)","sopa caipira (frango, batata, abóbora, tomate, macarrão)","agrião e  salada russa (batata, beterraba, maionese)","grão de bico com legumes (cenoura, vagem, tomate e cebola)"
2019-10-20,chá de erva-cidreira,pão de hotdog com patê de azeitona,melão,"cubos ao molho escuro (carne bovina, molho de soja)",vagem sautée,flan de baunilha com calda,agrião e cenoura cozida,grão de bico ao molho escuro (molho de soja),frango ao sugo,"sopa de feijão (feijão, batata, bacon, couve, macarrão)",repolho roxo e chuchu,panqueca de ervilha seca (Observação: sem sugo)
2019-10-21,chá de camomila,pão de milho com queijo,Creme de abacate,"bife à fantasia (milho, ervilha, tomate e molho de soja)",abobrinha colorida (tomate),melão,repolho verde e tomate,hambúrguer de feijão cavalo,bisteca ao molho do cheff (batata salsa e molho de soja),"sopa mineira (quirera, tomate, linguiça, costelinha)",alface crespa e rabanete,"lentilha ao molho do cheff (batata salsa, molho de soja)"
2019-10-22,chá de erva-cidreira,pão francês com geléia de laranja ,maçã,copa lombo acebolada (carne suína),cenoura ao                molho branco ,gelatina de uva,mix de folhas e pepino,lentilha acebolada,"picadinho especial (carne bovina, molho branco com molho de tomate, milho  e  cenoura)","sopa juliana (batata, cenoura, chuchu, vagem, tomate, arroz)","rúcula e macarronese (macarrão, tomate, cenoura, ervilha, azeitona, maionese)",lasanha de berinjela com PTS
2019-10-23,chá de hortelã,pão hotdog com patê de presunto ,mamão,"barreado (carne bovina, bacon e molho de tomate)",farofa banana           (ovos),laranja,"rúcula e tropical (cenoura, maçã, repolho, maionese)",barreado de grão de bico com cominho,"bife à pizzaiolo (molho de tomate, presunto e queijo)","caldo italiano (frango, tomate, cenoura, couve, macarrão)",escarola e couve-flor,almôndega de feijão branco 
2019-10-24,chá de maçã,pão francês com doce de abóbora ,banana,estrogonofe de carne (molho branco com molho de tomate e      champignon),batata chips,maçã,escarola e chuchu ao vinagrete,estrogonofe de feijão branco (s/ glúten),frango ao molho de limão (molho branco com limão),"sopa eslava (carne bovina, batata, cenoura e molho branco com farinha de trigo, catchup e     mostarda)",alface americana e tomate,charuto de ervilha seca (Observação: sem arroz)
2019-10-25,chá mate,pão hotdog com presunto,salada de frutas,frango com ervas,abóbora refogada ,creme de abacaxi,alface americana e brócolis,croquete de feijão fradinho,"lasanha à bolonhesa (molho bolonhesa, molho branco, presunto e queijo) ","sopa primavera (batata, tomate, chuchu, vagem, milho, arroz)",repolho verde e beterraba ralada,grão de bico com espinafre ao alho e óleo
2019-10-26,chá de erva-doce,pão de milho com patê de frango,melão,costela assada,"cuscuz (farinha de mandioca, farinha de milho, ervilha, azeitona, ovos)",murgote,repolho verde e cenoura ralada,"trigo em grão com legumes (berinjela, couve flor, vagem, molho de soja)",copa lombo ao molho ferrugem ,"sopa minestrone I (batata, cenoura, tomate, chuchu, macarrão) ",radite e abobrinha cozida,feijão fradinho com brócolis
2019-10-27,chá de morango,pão hotdog com doce de maçã,abacaxi,"pernil na mostarda (carne suína, molho de mostarda)",couve refogada,gelatina de morango,"radite e tabule     (pepino, tomate, alface, farinha de quibe)",PTS na mostarda,bife à milanesa,"sopa húngara (batata, repolho, tomate, bacon, macarrão)",agrião e brócolis com milho,hambúrguer de feijão cavalo (s/ glúten)
2019-10-28,chá de hortelã,pão francês com patê de queijo,banana,carne moída ao sugo,macarrão na        manteiga,mamão,acelga e beterraba ralada,soja ao sugo,"peixe à milanesa com molho tártaro (molho de maionese com cenoura, ervilha, milho e pimentão verde)","sopa leve (carne bovina, batata, cenoura, tomate, arroz) ",alface bicolor e tomate,cuscuz vegano com ervilha seca
2019-10-29,chá de maçã,pão de hotdog com presunto,melancia,peixe no fubá com    limão,"ratatouille (abobrinha, berinjela, acelga, pimentão, molho de soja)",banana,alface e rabanete,tomate recheado com ervilha seca,"bife à fantasia (milho, ervilha e molho de soja)","canja (frango, batata, cenoura, tomate, arroz)",repolho roxo e chuchu com tempero verde,abobrinha recheada com feijão branco e milho
2019-10-30,chá de erva-doce,pão francês com doce de leite,laranja,"bife à espanhola (pimentão, milho, ervilha e molho de soja)",batata corada,sagú de vinho,repolho e tomate,hambúrguer de feijão branco ,frango assado,"sopa creme rio branco (batata salsa, tomate, couve, batata em flocos)","Rúcula e natural  (tomate, alface, pimentão, farinha para quibe)",croquete de aipim com PTS
2019-10-31,chá de morango,pão milho com patê de cenoura,creme de abacate,cubos de frango com bacon e cebola,chuchu com tempero verde ,pudim de prestígio,rúcula e cenoura ralada,PTS acebolada,carne de panela (carne bovina e molho de soja),"sopa de lentilha (lentilha, batata, cenoura, bacon, linguiça, macarrão)",agrião e maionese,grão-de-bico ao sugo
