Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-04-01,Chá de hortelã,Pão hot dog com margarina,Maçã ,Bisteca ao m. cheff(molho com batata salsa),Virado de couve,Mamão,Acelga e beterraba ralada,Soja ao molho do cheff,Madalena de carne,"Sopa de legumes (abóbora, batata, chuchu e arroz)",Alface crespa e berinjela ao vinagrete,Madalena de pts
2019-04-02,Chá de erva-cidreira,Pão francês com  presunto,Abacaxi,"Carne moída a primavera(moída com chuchu, cenoura, tomate e cebola)",Macarrão na manteiga,Gelatina de cereja,Alface crespa e tomate,PTS à primavera,Frango com alecrim,"Sopa de ervilha (ervilha, batata, bacon e macarrão)",Escarola e cenoura ralada,Hamburgger de grão-de-bico 
2019-04-03,Chá morango,Pão hot dog com margarina,Melancia,Frango assado,"Jardineira de legumes (batata, cenoura, vagem e abobrinha)",Maçã,Escarola e rabanete,Bolinho de feijão cavalo,Bife à milanesa,"Sopa minestrone II (batata, abobrinha, cenoura e macarrão)",Almeirão e beterraba ralada,Berinjela xadrez com soja
2019-04-04,Chá de camomila,Pão francês com patê de azeitona,Mamão ,Bife de panela,Purê prático,Pudim prestígio (pudim de chocolate com coco),Almeirão e pepino,Charuto de repolho e lentilha,Fricassê de frango,"Sopa juliana (batata, cenoura, chuchu, vagem e macarrão)",Alface americana e abobrinha cozida ,Cuscuz de feijão branco 
2019-04-05,Chá de maçã,Pão hot dog com queijo,Melão,Frango xadrez (molho escuro com tomate e pimentões),Berinjela à dorê,Laranja,Alface americana e tomate,Grão de bico xadrez,Costela assada,Sopa de cenoura,Agrião e pepino,Chuchu recheado com trigo em grão
2019-04-06,Chá de morango,Pão francês com margarina,Kiwi,Cubos de coxão mole ao molho escuro,Virado de repolho,Abacaxi,Agrião e cenoura ralada,Soja ao molho escuro,Lasanha de frango,"Sopa primavera (batata, chuchu, vagem, milho e arroz)",Repolho e rabanete,Lasanha de berinjela com PTS
2019-04-07,Chá de erva-doce,Pão hot dog com ,Doce de abóbora/Salada de frutas,Frango ao Molho sugo,Chuchu refogado,Mamão fatiado,Radite e macarronese,Feijão branco ao molho sugo,Bife de panela,"Sopa da casa (frango, batata, feijão branco, cenoura, chuchu e abobrinha)",Escarola e berinjela ao vinagrete,Hambúrguer de feijão cavalo
2019-04-08,Chá de erva-cidreira,Pão francês com margarina,Banana,Bife acebolado,Repolho refogado,Melão,Escarola e beterraba ralada,Feijão cavalo c/ legumes,Filé de frango ao molho de mostarda,"Sopa campestre (bacon, batata, vagem, abobrinha e macarrão)","Acelga e mista (tomate, cenoura e ervilha)",Croquete de grão-de-bico
2019-04-09,Chá de morango,Pão hot dog com queijo,Salada de frutas,"Frango à paulista (molho escuro com bacon, tomate e pimentão verde)",Polenta cremosa,Sagu de vinho,Acelga e cenoura ralada,Almôndega de feijão branco,Barreado,"Sopa de legumes (abóbora, batata, chuchu e arroz)",Alface crespa e abobrinha ralada com milho,Barreado com soja em grão
2019-04-10,Chá de erva-doce,Pão francês com presunto,Creme de abacate,"Picadinho especial (molho com cenoura, tomate e milho)",Macarrão alho e óleo,Laranja,Alface crespa e rabanete,Trigo em grão ao molho especial,Peixe no fubá c/ molho verde,"Sopa leve (carne, batata, cenoura e arroz)",Couve e cenoura cozida,Nuguets de ervilha
2019-04-11,Chá de maçã,Pão hot dog com margarina ,Caqui,Peixe à milanesa c/limão,Abobrinha refogada ,Pavê de chocolate,Couve e tomate,Hambúrguer de soja,Panqueca de carne moída,"Sopa de lentilha (lentilha, bacon, linguiça, batata e cenoura)",Radite e beterraba ralada,Panqueca de PTS
2019-04-12,Chá de camomila,Pão francês com doce de banana,Mamão ,Carne moída refogada,Batata amassada,Melancia,Radite e berinjela ao vinagrete, PTS com ervilha seca,"Frango chinês (molho escuro com acelga, brócolis, cenoura, vagem e tomate)",Sopa de fubá,Escarola e chuchu com TV,Charutinho de feijão fradinho ao alho e óleo
2019-04-13,Chá de hortelã,Pão hot dog com patê de cenoura,Laranja,Filé de frango ao molho oriental,Seleta de legumes,Maçã,Escarola e abobrinha,Hambúrguer de grão-de-bico,Tirinhas ao molho escuro,Sopa de cenoura,Alface americana e tomate,Lentilha com champignon
