Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2019-04-14,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Bife ao sugo,Aipim sautée,Gelflan ,Alface americana e Beterraba ralada,Berinjela à rolê c/ pasta de lentilha,Posta assada com molho ferrugem ,"Sopa húngara (bacon, batata, repolho e macarrão)","Almeirão e salada tropical (cenoura, repolho, maçã e maionese)",Bolinho de feijão cavalo
2019-04-15,Chá de morango,Pão hot dog com queijo,Maçã,Churrasco,Farofa completa,Laranja,Almeirão e rabanete,Croquete de ervilha,Copa lombo ao molho oriental,"Sopa mineira (quirera, linguiça e costelinha) ",Alface e abobrinha ao vinagrete,Trigo em grão ao molho oriental
2019-04-16,Chá de maçã,Pão francês com margarina ,Melão,Cubo suíno acebolado ,"Ratatouille (abobrinha, berinjela, acelga e pimentão ao molho escuro) ",Torta de bolacha ,Escarola e cenoura ralada,Soja com couve refogada,Filé de frango grelhado ao molho de limão ,"Sopa minestrone I (batata, cenoura, chuchu e macarrão)",Radite e mista cozida,Berinjela recheada com lentilha
2019-04-17,Chá de erva-doce,Pão hot dog com doce de leite ,Mamão,Strogonoff de carne ,Batata chips ,Banana,Radite e pepino,Strogonoff de feijão branco,"Bife grelhado à paulista (molho escuro com bacon, tomate e pimentão verde) ","Sopa Juliana (batata, cenoura, chuchu, vagem e arroz)",Couve e beterraba ralada,Hambúrguer de grão de bico 
2019-04-18,Chá de camomila,Pão francês com presunto ,Salada de frutas,"Bife à pizzaiolo (queijo, presunto, orégano e tomate) ",Creme de Milho ,Gelatina de limão ,Couve e rabanete,Torre de berinjela,"Peixe à milanesa com molho tártaro (molho a base de maionese, cenoura, milho, ervilha e pimentão) ","Sopa eslava (carne, batata, cenoura, catchup e mostarda) ","Escarola e Istambul (tomate, pepino e azeitona)",Chuchu recheado com feijão cavalo
2019-04-20,Chá de erva-cidreira,Pão francês com patê de cenoura ,Banana,Carne de panela ,Bolinho de milho ,Melancia,Alface crespa e tomate,Soja chinesa,Frango frito ,"Sopa caldo verde (bacon, couve e batata) ",Rúcula e chuchu c/ tempero verde,Panqueca de feijão Branco 
2019-04-22,Chá de hortelã,Pão hot dog com doce de leite ,Melão,Carne moída refogada ,Espaguete ao alho e óleo ,Morgote,Repolho e cenoura ralada,Guisadinho de PTS (PTS com milho),Espetinho de frango ,"Sopa minestrone II  (batata, cenoura, tomate, abobrinha e macarrão)",Alface americana e tomate,"Trigo em grão c/ legumes (vagem, cenoura e ervilha em conserva)"
2019-04-23,Chá de erva-cidreira,Pão francês com presunto,Mamão ,Filé de frango ao molho oriental ,Quibebe,Gelflan ,Alface americana e berinjela ao vinagrete,Feijão cavalo ao molho oriental,Carne de panela ,"Sopa de legumes com macarrão (batata, cenoura, abobrinha, chuchu, tomate) ",Agrião e pepino,Virado de soja c/ couve
2019-04-24,Chá morango,Pão hot dog com margarina ,Creme de abacate ,Barreado ,Farofa de banana ,Laranja,Agrião e mista cozida,Barreado de ervilha seca com legumes,Bife ao molho de mostarda ,Sopa de aipim,Escarola e rabanete,Espetinho de legumes c/ PTS
2019-04-25,Chá de camomila,Pão francês queijo ,Ponkan,Tirinhas aceboladas ,"Cenoura, batata comum e batata salsa",Melancia,Escarola e beterraba ralada,Grão de bico acebolado,Frango ao molho de laranja,"Sopa de fubá com TV (costelinha, fubá e repolho) ",Alface crespa e chuchu com milho verde,Croquete de abóbora com trigo em grão 
2019-04-26,Chá de maçã,Pão hot dog com patê de azeitona ,Banana,Frango frito/assado ,Polenta ao sugo ,Gelatina de uva ,Alface crespa e pepino,Hambúrguer de feijão branco ,Bisteca grelhada ,"Sopa de lentilha (lentilha, linguiça, bacon, batata, cenoura e macarrão) ",Acelga e berinjela ao vinagrete,Soja ao molho oriental
2019-04-27,Chá de morango,Pão francês com margarina ,Laranja,Pernil ao molho oriental ,Batata doce corada ,Banana,Acelga e tomate,Croquete de feijão fradinho ,Nhoque à bolonhesa ,Sopa de abóbora com curry ,Alface e beterraba ralada,Nhoque de pts 
2019-04-28,Chá de erva-doce,Pão hot dog com doce de banana ,Salada de frutas,Quibe de forma ,Legumes sautée,Pudim de baunilha c/ calda ,"Alface e istambul (tomate, pepino e azeitona)",Quibe de berinjela com recheio de PTS ,Sassami à milanesa ,"Sopa creme de ervilha seca (ervilha, bacon e batata) ",Escarola e rabanete,Grão de bico ao molho sugo
2019-04-29,Chá de erva cidreira,Pão hot dog com margarina ,Melancia,Bisteca acebolada ,Quirera com TV,Morgote,Escarola e rabanete,Soja à cigana,"Goulash (carne com batata, cenoura, vagem, tomate e bacon) ","Sopa juliana (batata, cenoura, chuchu, vagem e macarrão)",Acelga e mista cozida,Goulash de lentilha 
2019-04-30,Chá de camomila,Pão francês com patê de frango ,Mamão,Picadinho de carne ,Bolinho de arroz ,Flocado de coco (pudim de coco com coco ralado) ,Acelga e cenoura ralada,Feijão cavalo c/ legumes,Empadão de frango ,"Sopa de legumes com arroz (abóbora, batata, chuchu e arroz)",Almeirão e pepino,Empadão de feijão branco 
