Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-11-4,chá de maçã,pão de hotdog com queijo ,mamão,bisteca à cigana,repolho refogado ,laranja,alface e cenoura ralada,trigo em grão à cigana,bife ao molho ferrugem ,sopa da casa,radite e vagem c/ milho verde,Hamburgger de PTS
2019-11-5,chá de erva-cidreira,pão francês com patê de frango,banana,bife acebolado (cx mole),jardineira de legumes,torta de amendoim,radite e tomate,mix de grãos acebolado,strogonoff de frango,batata chips,acelga e cenoura cozida,strogonoff de grão-de-bico (s/ glúten)
2019-11-6,chá de morango,pão de milho com presunto,salada de frutas,frango xadrez,berinjela à milanesa,murgote,acelga e rabanete,grão de bico xadrez,bife à rolê,sopa minestrone I,couve manteiga e abobrinha ralada ao vinagrete,charuto de lentilha (s/ arroz) 
2019-11-7,chá de camomila,pão francês com doce de maçã,abacaxi,bife à gaucha,batata amassada,maçã,couve manteiga e pepino,lentilha ao sugo,frango com alecrim,sopa londrina,repolho bicolor e tomate,berinjela à rolê com pasta de feijão branco
2019-11-8,chá de erva-doce,pão hotdog com patê de presunto,laranja,frango crocante,abobrinha refogada,gelatina miscelânea,repolho roxo e chuchu,croquete de feijão branco (sem glúten),barreado,sopa de aipim,alface americana e rabanete,barreado de soja c/ cominho
2019-11-9,chá de hortelã,pão de milho com doce de abóbora,melão,picadinho especial,bolinho de arroz,salada de frutas,alface americana e tomate,soja especial,copa lombo ao m. oriental,sopa leve,rúcula e maionese,ervilha seca ao m. oriental
2019-11-10,chá mate,pão hotdog com queijo,maçã,lombo com abacaxi,farofa completa,pudim de chocolate,rúcula e Lisboa,ervilha seca c/ couve-flor,tirinha de carne com legumes,sopa creme de espinafre,agrião e beterraba ralada,nhoque c/ feijão cavalo ao sugo
2019-11-11,chá de erva cidreira,Pão francês com patê de ervas,melancia,bife à pizzaiolo,quirera com tv ,melão,escarola e beterraba ralada,hamburguer de f. cavalo,cubos de frango acebolado,sopa de feijão,agrião e cenoura ralada,bolinho de lentilha
2019-11-12,chá de camomila,pão hotdog com doce de banana,murgot,filé de frango à canadense,abóbora refogada,gelatina de uva,agrião e rabanete,madalena de lentilha,quibe de forma,sopa juliana,mix de alface e abobrinha cozida com vinagrete,madalena de pts (s/ glúten)
2019-11-13,chá de hortelã,pão francês com queijo,banana,moída refogada,macarrão ao sugo,maçã cremosa, barigui e berinjela assada,PTS refogada,peixe à milanesa c/ limão,sopa eslava,acelga e beterraba ralada,tomate recheado com ervilha seca
2019-11-14,chá de maçã,pão de milho com presunto,mamão,peixe à milanesa c/ m. rosê,chuchu c/ cenoura refogados ,laranja ,acelga e tomate,nuggets de feijão fradinho s/ glúten,ensopado caipira,creme de cebola,couve manteiga e rabanete,ensopado de grão de bico
2019-11-15,chá mate,pão francês com doce de leite,melão,picadinho de carne,aipim com TV,gelflan,couve manteiga e pepino,grão de bico com brócolis ,frango ao m. curry,sopa de legumes com carne,rúcula e chuchu,abobrinha recheada c/ f. fradinho ao curry
2019-11-16,chá de erva doce,pão hotdog com queijo,salada de frutas,frango ao m. oriental,aneis de cebola,melancia,rúcula e abobrinha cozida,trigo em grão ao m. oriental,rocambole de carne,caldo italiano,repolho e tomate,rocambole de feião branco (s/ glúten)
2019-11-17,chá de morango,pão hotdog com patê de azeitona,laranja,posta ao molho,vagem refogada ,sagu de vinho,repolho e cenoura ralada,feijão branco c/ floretes de couve-flor e brócolis ,bife ao m. escuro com champignon,sopa primavera,almeirão e  sal. russa,hamburguer de ervilha seca
2019-11-18,chá de camomila,pão hotdog com presunto,maçã,bife à milanesa,creme de milho,laranja,alface e tomate,Ervilha seca c/ legumes,copa lombo à cigana ,sopa de raízes,escarola e brócolis c/ couve flor ,soja à cigana
2019-11-19,chá de morango,pão francês com doce de abacaxi,mamão,Bife suíno acebolado (copa lombo),ratatouille ,gelatina de limão,escarola e cenoura cozida,soja acebolada ,frango o molho de laranja,creme de ervilha,alface roxa e pepino,chuchu recheado c/ grão de bico molho de laranja
2019-11-21,chá mate,pão hotdog com queijo,melão,churrasco,repolho refogado ,salada de frutas c/ abacaxi,agrião e pepino,arroz com lentilha e cebola crocante,frango xadrez,sopa leve,almeirão e tomate,trigo em grão xadrez
