Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2019-09-2,chá de morango,pão francês com queijo,melancia,bisteca ao molho do cheff (batata salsa e molho de soja),abobrinha refogada,maçã,escarola e pepino,feijão cavalo ao molho do cheff,filé de frango canadense (molho branco e queijo parmesão),"sopa campestre (batata, abobrinha, vagem, macarrão e bacon)",alface crespa e tomate,ervilha seca ao molho mostarda (s/ glúten)
2019-09-3,chá de erva doce,pão de milho com doce de maçã,mamão,"fricassê de frango (molho branco, tomate e milho)","arroz crocante (batata palha, cenoura e ervilha)",torta de amendoim,alface crespa e cenoura ralada,bolinho de ervilha seca (s/ glúten),carne ao vinho (vinho tinto e trigo),"canja (frango, batata, cenoura e arroz)",rúcula e rabanete,grão de bico ao sugo
2019-09-4,chá mate,pão francês com patê de frango,banana,"picadinho especial (molho branco com molho de tomate, milho e cenoura)",bobó de aipim (bacon),murgote,rúcula e beterraba cozida,grão de bico especial,peixe no fubá c/ limão,"creme de abóbora curry (abóbora, batata e curry)",almeirão e berinjela ao vinagrete,hambúrguer de lentilha (s/ glúten)
2019-09-5,chá de erva-cidreira,pão hot dog com doce de leite,salada de frutas,peixe à milanesa c/ molho de ervas (molho de maionese com tempero verde),acelga c/ cenoura à moda chinesa (molho de soja),gelatina de cereja,almeirão e tomate,nuggets de lentilha (s/ glúten),bife ao molho oriental (molho de soja),"minestrone II (batata, cenoura, abobrinha e macarrão)",agrião e  pepino,tomate recheado c/ feijão branco ao molho oriental
2019-09-6,chá de hortelã,pão de milho com presunto,creme de abacate,bife acebolado,purê misto com batata salsa ,melancia,agrião e abobrinha ralada,torre de berinjela c/ pasta de feijão branco,frango assado,"sopa leve (carne bovina, batata, cenoura e arroz)","couve e macarronese (tomate, cenoura, ervilha e azeitona)",torta de feijão fradinho e legumes
2019-09-7,chá de maçã,pão hot dog com queijo,melão,"risoto de frango (cenoura, tomate, milho, ovos, azeitona e queijo parmesão)",chuchu c/ orégano,sagu de vinho,couve e rabanete,"risoto de grãos (soja, feijão fradinho e ervilha seca)",strogonoff de carne (molho branco com molho de tomate e champignon),"sopa camponesa (batata, chuchu, repolho, milho e macarrão)",alface americana e beterraba ralada,strogonoff de PTS
2019-09-8,chá de camomila,pão de milho com doce de banana,kiwi,costela assada,"farofa completa (bacon, ovos e azeitona)",laranja,"alface americana e lisboa (tomate, pepino e azeitona)",abobrinha recheada c/ trigo em grão,nhoque à bolonhesa (molho de tomate e carne moída),"sopa califórnia c/ arroz  (frango, batata, cenoura, abobrinha e arroz)",acelga e brócolis,bolinho de ervilha seca c/ batata (s/ glúten)
2019-09-9,chá de erva doce,pão hot dog com patê de azeitona,murgote,"moída mexicana (molho de tomate, molho de pimenta e pimentões)",macarrão alho e óleo,abacaxi fatiado,acelga e beterraba ralada,chilli de PTS,copa lombo ao molho oriental,"sopa londrina (carne bovina, batata, cenoura, chuchu, ervilha e macarrão)",escarola e rabanete,charuto de repolho (grão de bico)
2019-09-10,chá mate,pão francês com doce de abóbora,melancia,"puchero (cubos suínos, grão de bico, cenoura, costelinha suína defumada, linguiça calabresa e tomate)",batata doce com curry,salada de frutas c/ kiwi,escarola e tomate,"puchero vegano (grão de bico, cenoura e tomate)",espetinho de frango à milanesa (bacon e cebola),"sopa de legumes c/ arroz (batata, abóbora, chuchu e arroz)",almeirão e cenoura ralada,trigo em grão com feijão cavalo ao sugo
2019-09-11,chá de erva-cidreira,pão de milho com queijo,abacaxi,frango crocante (farinha de rosca e queijo parmesão),quibebe (bacon),flan de baunilha,almeirão e abobrinha ralada,bolinho de feijão cavalo (s/ glúten),"bife à pizzaiolo (molho de tomate, presunto e queijo)","sopa da casa (frango, feijão branco, abobrinha, batata, cenoura e chuchu)",couve e natural,cebola recheada c/ lentilha
2019-09-12,chá de maçã,pão francês com patê de presunto,banana,bife de panela (molho de tomate),bolinho de arroz,mamão fatiado,alface crespa e rabanete,lentilha ao sugo,frango ao molho branco,"sopa eslava (carne bovina, batata, cenoura e molho com farinha de trigo, catchup e mostarda)",radite e beterraba ralada,hambúrguer de ervilha seca (s/ glúten)
2019-09-13,chá de hortelã,pão hot dog com doce de abacaxi,maçã,filé de fgo ao m. açafrão (molho branco com açafrão),"ratatouille (berinjela, abobrinha, acelga, tomate, cebola e molho de soja)",gelatina de uva,radite e cenoura ralada,hambúrguer de feijão branco (s/ gluten),posta ao molho sugo,"sopa de raízes (aipim, batata, batata salsa, cenoura)",mix de alface e tomate,"espetinho de bolinha de feijão cavalo, com pimentões, cebola e berinjela (s/ glúten)"
2019-09-14,chá de camomila,pão de milho com presunto,salada de frutas,posta recheada (bacon e cenoura),creme de milho,murgote,mix de alface e beterraba ralada,tomate recheado c/ trigo em grão e espinafre,bisteca c/ pimentões (pimentões verde e vermelho e molho de soja),"sopa de feijão (feijão preto, batata, bacon, couve e macarrão)",escarola e chuchu ao vinagrete,PTS c/ pimentões
2019-09-15,chá de morango,pão hot dog com patê de ervas (tempero verde),melão,bisteca à milanesa,couve refogada,banana,escarola e maionese de couve-flor,PTS c/ legumes,churrasco,sopa creme de cebola (molho branco e cebola),rúcula e batata salsa c/ TV,quibe de berinjela c/ feijão branco
2019-09-16,chá mate,pão francês com presunto,laranja,churrasco,virado de couve (bacon e ovos),melão,alface americana e tomate,ervilha seca ao molho escuro,frango com alecrim,"sopa mineira (quirera, linguiça calabresa e costelinha suína defumada)",agrião e beterraba ralada,feijão fradinho com couve-flor ao sugo
2019-09-17,chá de erva-cidreira,pão de milho com patê de queijo,kiwi,frango ao molho sugo,"jardineira de legumes (batata, cenoura, vagem e abobrinha)",maçã,agrião e pepino,croquete de feijão fradinho,tirinhas com champignon (molho de soja e champignon),"sopa de cenoura (batata, cenoura e farinha de trigo)",alface crespa e rabanete,hambúrguer de soja c/ molho escuro c/ champignon
