Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2019-09-18,chá de hortelã,pão francês com doce de leite,melancia,"bife à fantasia (milho, ervilha, tomate e molho de soja)",repolho à portuguesa (azeitona),banana surpresa,alface crespa e beterraba ralada,panqueca de trigo em grão c/ espinafre,filé de fgo ao molho de mostarda (molho branco e mostarda),"sopa de legumes c/ carne (batata, cenoura, chuchu, carne bovina e macarrão)",escarola e tomate,lasanha de berinjela c/ PTS 
2019-09-19,chá de maçã,pão hot dog com queijo,abacaxi,"frango chinês (molho de soja, acelga, brócolis, cenoura, vagem, tomate, cebola)",espaguete na manteiga,gelatina de limão,escarola e abobrinha ao vinagrete,grão de bico chinês,"goulash (batata, cenoura e vagem e bacon)","sopa creme de espinafre (batata, espinafre e molho branco)",rúcula e pepino,"feijão cavalo c/ legumes (vagem, batata e cenoura)"
2019-09-20,chá de camomila,pão de milho com patê de frango,salada de frutas,barreado (bacon e molho de tomate),farofa de banana (ovos),laranja,rúcula e rabanete,barreado vegano (feijão cavalo),"lasanha à bolonhesa (molho de tomate, molho branco, presunto e queijo)","sopa juliana c/ arroz (batata, cenoura, chuchu, vagem e arroz)",couve e vagem c/ milho,chuchu recheado com lentilha
2019-09-21,chá de morango,pão hot dog com doce de banana,melão,cubos ao molho escuro,chuchu e cenoura sautée (margarina),sagu,"couve e tabule (farinha de quibe, tomate, pepino e alface)",madalena de lentilha,peixe à romana (queijo parmesão na massa),"caldo verde (batata, couve e bacon)",radite e abobrinha ao vinagrete,bolinho de feijão branco (s/ glúten)
2019-09-22,chá de erva-doce,pão de milho com presunto,murgote,"peixe à escabeche (molho de tomate, pimentão, azeitona e cebola)",purê misto ,melancia,radite e berinjela na chapa,pimentão verde recheado c/ feijão branco,"bife à gaúcha (molho de tomate, ervilha e bacon)","sopa caipira (frango, batata, abóbora e macarrão)","salada tropical (repolho, maçã, cenoura e maionese) e tomate",cuscuz de soja
2019-09-23,chá de erva-cidreira,pão hot dog com doce de leite,banana,bife acebolado,creme de milho,Murgot,Repolho verde e beterraba ralada,Almôndega de PTS c/ abobrinha,moída refogada,"sopa minestrone II (batata, cenoura, abobrinha e macarrão)",Alface crespa e berinjela na chapa,PTS refogado
2019-09-24,chá de hortelã,pão francês com patê de azeitona,maçã,quibe assado,Abóbora refogada,abacaxi fatiado,Alface crespa e chuchu ao vinagrete,escondidinho de ervilha seca ,bisteca ao molho do cheff (batata salsa e molho de soja),"sopa campestre (batata, abobrinha, vagem, macarrão e bacon)",Almeirão e  tomate,Grão de bico ao molho do cheff
2019-09-25,chá de maçã,pão de milho com queijo,melão,"bisteca à cigana (tomate, ervilha e apresuntado)",quirera com t.v,gelflan,Almeirão e  cenoura ralada,Grão de bico à cigana,bife de panela (molho de tomate),"caldo italiano (frango, cenoura, couve e macarrão)",Acelga e beterraba ralada,Nhoque vegano de espinafre c/ feijão branco ao sugo
2019-09-26,chá de camomila,pão francês com presunto,murgote,"bife à rolê (molho de tomate, bacon, cenoura e cebola)",purê pratico misto,Banana,Acelga e tomate,abobrinha à rolê c/ pasta de feijão branco,panqueca de frango,"Sopa camponesa c/ arroz (batata, chuchu, repolho, milho e arroz)",Agrião e  rabanete,Hambúrguer de soja (s/ glúten)
2019-09-27,chá de morango,pão hot dog com doce de maçã,abacaxi,frango ao m. curry (molho branco com curry),"legumes refogados I (chuchu, cenoura e vagem)",Pavê de chocolate,Agrião e  pepino,Soja ao molho curry (s/ glutén),lombo c/ abacaxi,Sopa de fubá com moída - sem repolho (fubá e carne moída),Mix de folhas e couve-flor c/ brócolis ao vinagrete,Ervilha seca ao molho escuro
2019-09-28,chá de erva doce,pão de milho com patê de presunto,laranja,copa lombo ao m. laranja (laranja e amido de milho),Berinjela na chapa,gelatina miscelânea,Mix de folhas e beterraba cozida,Falafel (grão de bico),"rocambole de carne (bacon, cenoura, azeitona)","Sopa primavera (batata, chuchu, vagem, milho e arroz)",Rúcula e chuchu c/ TV,Tomate recheado c/ lentilha
2019-09-29,chá mate,pão hot dog com doce de abóbora,melancia,almôndega chinesa,"Risoto de legumes (cenoura, vagem, milho, ervilha, tomate e queijo parmesão)",Mamão fatiado,Rúcula e abobrinha ralada,Charuto de repolho (lentilha),"picadinho especial (molho branco com molho de tomate, milho e cenoura)","creme ervilha (batata, ervilha seca e bacon)",Escarola e cenoura cozida,Feijão fradinho especial
2019-09-30,chá de hortelã,pão francês com presunto,mamão,carne de panela (molho de soja e amido de milho),polenta ao sugo,laranja,escarola e cenoura ralada,ervilha seca ao molho escuro,peixe à milanesa c/ limão,"sopa eslava (carne bovina, batata, cenoura e molho com farinha de trigo, catchup e mostarda)",almeirão e pepino,croquete de feijão cavalo (s/ glúten)
