Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-08-06,Chá de hortelã,Pão hot dog com margarina,Maçã ,Moída com molho sugo,Macarrão ao alho e óleo,Laranja,Acelga e beterraba ralada,PTS ao sugo (com cebola e tomate),Bisteca à cigana,Caldo italiano,Escarola e tomate,Grão de bico à cigana
2018-08-07,Chá de erva-cidreira,Pão francês com presunto,Banana,Bisteca acebolada,Repolho refogado,Gelatina de uva,Escarola e cenoura ralada,Arroz com lentilha acebolada,Goulash,Sopa creme rio branco ,Alface crespa e abobrinha,Goulash vegano com feijão branco
2018-08-08,Chá morango,Pão hot dog com doce de banana,Melancia,Carne de panela,Bolinho de espinafre,Mamão picado,Alface crespa e rabanete,Soja ao sugo,Bife à milanesa,Sopa de feijão,Rúcula e cenoura ralada,Croquete de ervilha
2018-08-09,Chá de camomila,Pão francês com queijo,Melão,Bife ao m. escuro,Legumes refogados,Torta de amendoim,Rúcula e tomate,Hambúrguer de feijão cavalo,Coxa ao molho curry,Sopa eslava,Repolho e beterraba cozida,Grão-de-bico ao curry
2018-08-10,Chá de maçã,Pão hot dog com doce de leite,Laranja,Frango ao sugo,Polenta cremosa,Banana,Repolho e berinjela ao vinagrete,Lentilha c/ pimentões,Panqueca de carne,Sopa canja,Mista de alface e rabanete,Panqueca de legumes com trigo em grão
2018-08-11,Chá de morango,Pão francês com margarina,Banana,Quibe ,Creme de brócolis,Mamão fatiado,Mista de alface e pepino,Quibe de berinjela,Espetinho de frango,Sopa londrina,Escarola e cenoura cozida,Espetinho de legumes com PTS 
2018-08-12,Chá de erva-doce,Pão hot dog com presunto,Maçã,Costela ao molho,Farofa rica,Abacaxi fatiado,Escarola e maionese,Feijão cavalo,Posta recheada (vagem e cenoura) ,Sopa raízes,Acelga e chuchu com milho verde,Abobrinha recheada com lentilha
2018-08-13,Chá de erva-cidreira,Pão francês com margarina,Banana,Bife à fantasia,Abobrinha refogada,Maçã,Radite e cenoura ralada,Feijão branco à fantasia,Filé de frango ao m. oriental,Sopa creme de milho,Agrião e beterraba ralada,Trigo em grão ao molho oriental
2018-08-14,Chá de morango,Pão hot dog com queijo,Salada de frutas,Filé de frango ao molho mostarda,Quibebe ,Pudim brigadeiro,Agrião e tomate com cebola,Grão de bico ao m. mostarda,Bife à espanhola,Sopa califórnia ,Escarola e pepino,Pimentão recheado com lentilha
2018-08-15,Chá de erva-doce,Pão francês com doce de banana,Laranja,Carne moída com ervilha,Bobó de aipim,Mamão fatiado,Escarola e abobrinha,Pts c/ ervilha,Peixe à milanesa ao molho tártaro,Sopa leve,Acelga e Tomate,Nuggets de grão de bico
2018-08-16,Chá de maçã,Pão hot dog com margarina ,Maçã,Peixe frito no fubá com limão,Cenoura sauté,Melão,Acelga e beterraba ralada,Bolinho de lentilha,Picadinho especial,Sopa de batata-salsa,Alface americana e vagem,Ensopado vegano (feijão cavalo)
2018-08-17,Chá de camomila,Pão francês com doce de leite,Mamão ,Barreado,Farofa de banana,Laranja,Alface americana e tomate,"Pimentão recheado com soja, arroz e tomate",Coxa/sobrecoxa ao sugo,Sopa de fubá com moída,Italiana e cenoura ralada ,Bolinho de feijão branco
2018-08-18,Chá de hortelã,Pão hot dog com presunto,Banana,Frango c/ alecrim,Ratatouille,Melancia ,Rúcula e beterraba ralada,"Rocambole de pts (PTS com farinha de rosca e de trigo, cebola e temperos recheado com tomate e cebola",Madalena,Sopa de ervilha,Escarola e caipira,Batata com lentilha
2018-08-19,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Churrasco,Cuscuz,Gelatina de limão,Escarola e tomate,Feijão cavalo com espinafre,Puchero,Sopa primavera,Couve e abobrinha ralada,Puchero vegano
2018-08-20,Chá de morango,Pão hot dog com queijo,Maçã,Cubos suínos acebolados,Quirera com costelinha,Ponkan,Repolho bicolor e cenoura,Soja  acebolada,Quibe frito,Sopa juliana,"Agrião e mista cozida (batata salsa, vagem e couve-flor)",Quibe vegano (c/ berinjela)
2018-08-21,Chá de maçã,Pão francês com margarina,Banana,Almôndega ao sugo,Purê misto,Gelatina de cereja,Agrião e rabanete,Almôndega de PTS,Fricassê de frango,Sopa londrina,Alface crespa e abobrinha,Charutinho de lentilha
2018-08-22,Chá de erva-doce,Pão hot dog com doce de leite,Mamão ,Frango xadrez,Arroz chop suey,Banana surpresa,Alface crespa e beterraba ralada,Grão de bico xadrez,Bife à rolê,Creme de espinafre,Radite e chuchu c/ milho,Bolinho de feijão branco
2018-08-23,Chá de camomila,Pão francês com presunto,Salada de frutas,Bife à pizzaiolo,Repolho à portuguesa,Laranja,Radite e Pepino,Feijão branco ao curry,Ensopado caipira,Caldo verde,Acelga e tomate,Trigo grão caipira
2018-08-24,Chá de hortelã,Pão hot dog com margarina,Laranja,Strogonoff de carne,Batata chips,Sagu de vinho,Acelga e abobrinha ralada,Strogonoff vegano com feijão cavalo e berinjela,Filé de frango a milanesa,Sopa de legumes,Alface crespa e rabanete,Hambúrguer de grão de bico
2018-08-25,Chá de erva-cidreira,Pão francês com queijo,Banana,Filé de frango grelhado,Jardineira de legumes,Maçã ,Alface crespa e tomate,Trigo em grão refogado com cheiro verde,Picadinho ao molho escuro,Sopa de abóbora,Rúcula e maionese de batata,Torre de berinjela com ervilha
2018-08-26,Chá de morango,Pão hot dog com margarina,Laranja,Tirinhas de carne à chinesa,Berinjela à milanesa,Mamão picado,Rúcula e chuchu,Lentilha à chinesa,Nhoque à bolonhesa,Sopa Califórnia com arroz,Repolho e beterraba cozida,Nhoque à bolonhesa (c/ pts)
2018-08-27,Chá de hortelã,Pão hotdog com margarina,Melão,Churrasco,Farofa completa com couve,Escarola e cenoura ralada,Banana,Feijão fradinho refogado,Frango frito/assado (coxa/sobrecoxa),Sopa de aipim,Almeirão e tomate,Feijão cavalo alho e óleo
2018-08-28,Chá de erva-cidreira,Pão francês com presunto,Kiwi,Frango ao sugo,Polenta mole,Maçã,Almeirão e beterraba ralada,Bolinho de lentilha,Picadinho de carne ao molho de ervilha,Sopa mineira,Alface americana e pepino,Legumes com pts
2018-08-29,Chá morango,Pão hot dog com doce de abóbora,Melancia,Carne de panela,Batata amassada c/tempero verde,Morgote,Alface americana e tomate,Soja refogada,Peixe no fubá,Sopa minestrone I,Rúcula e beterraba ralada,Croquete de ervilha
2018-08-30,Chá de camomila,Pão francês c/ margarina,Laranja,Peixe à milanesa,"Brócolis, cenoura e couve flor",Gelatina de abacaxi,Rúcula e rabanete,Grão de bico acebolado,Bife ao molho do chefe,Sopa da casa,Repolho bicolor e cenoura ralada,Trigo em grão ao m. do chef
2018-08-31,Chá de maçã,Pão hot dog c/ queijo,Maçã,Bife ao sugo,Macarrão na manteiga,Mamão fatiado,Repolho bicolor e pepino,Almôndega de feijão branco ao sugo,Filé de frango ao mol mostarda,Sopa creme de ervilha,Alface crespa e berinjela ao vinagrete,Feijão fradinho ao molho de mostarda
