Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-02-15,Chá de erva-doce,Pão hotdog com margarina ,Banana,Bife de panela,Macarrão alho e óleo,Maça,Alface e tomate,Grão de bico ao sugo,Frango grelhado,Sopa londrina,Alface e pepino,Feijão branco com milho
2018-02-16,Chá de camomila,Pão hotdog com doce de maçã,Mamão ,Frango ensopado,Polenta cremosa,Gelatina de uva,Escarola e cenoura cozida,Panqueca de PTS,Cozido a portuguesa,Sopa caipira,Couve manteiga e beterraba cozida,Virado de feijão cavalo
2018-02-19,Chá de camomila,Pão hot dog com queijo,Laranja,Sassami grelhado ao sugo,Purê de batata (flocos),Maça,Alface e beterraba ralada,Trigo em grão com legumes,Bife ao molho mostarda,Sopa campestre,Escarola e pepino,Grão-de-bico na mostarda
2018-02-20,Chá de erva-cidreira,Pão francês com margarina,Banana,Bife acebolado,Repolho à portuguesa,Gelatina de morango,Escarola e cenoura ralada,Feijão cavalo com legumes,Goulash (molho cremoso),Sopa de lentilha,Alface roxa e tomate,Legumes com soja em grão
2018-02-21,Chá de erva-doce,Pão hot dog com patê de frango,Mamão fatiado,Picadinho especial,Farofa de couve,Pudim de chocolate,Alface roxa e pepino,Cassoulet vegano,Bisteca ao molho do Chef,Sopa Califórnia com arroz,Almeirão e feijão branco,Batata com pts 
2018-02-22,Chá de hortelã,Pão francês com presunto,Salada de frutas,Bisteca a cigana,Abóbora refogada,Melancia, Almeirão e beterraba cozida,Quibe de berinjela ,Peixe à milanesa c/ limão,Sopa eslava,Rúcula e beterraba cozida,Nuguets de ervilha
2018-02-23,Chá mate,Pão hot dog com doce de abóbora,Maça,Peixe frito ao m. rose,Batata soute,Laranja ,Rúcula e tomate,Croquete de lentilha,Frango chinês,Sopa creme de milho,Agrião e cenoura,Legumes à chinesa
2018-02-24,Chá de maça,Pão francês com patê de queijo,Banana,Filé de frango no limão,Risoto de legumes,Gelflan,Agrião e abobrinha,Hambúrguer de grão-de-bico,Tirinhas com champignon,Sopa de cenoura,Alface e vagem,Croquete de lentilha
2018-02-25,Chá de morango,Pão hot dog com margarina,Abacaxi,Cubos ao molho escuro,Couve-flor refogada,Mamão ,Alface e cenoura cozida,Panqueca de ervilha,Nhoque a bolonhesa,sopa legumes com arroz ou canja,Couve e salada tropical,Bolinho de feijão
2018-02-26,Chá de hortelã,Pão hotdog com doce de banana,Maçã ,Carne moída c/ molho,Espaguete alho e óleo,Mamão picado,Repolho bicolor e cenoura ral.,PTS ao sugo,Filé frango ao m. mostarda,Sopa feijão,Almeirão e tomate,Hambúrguer de ervilha
2018-02-27,Chá de erva-cidreira,Pão francês com presunto,Banana ,Filé de frango ao m. oriental,Jardineira de legumes,Torta de bolacha,Almeirão e beterraba ral.,Bolinho de feijão cavalo,Carne de panela,Sopa de legumes com arroz,Agrião e pepino,Virado de couve c/ soja
2018-02-28,Chá mate,Pão hotdog com margarina,Melancia,Barreado,Farofa de banana,Laranja,Agrião e tomate ,Legumes refogados,Tirinhas de carne com legmes,Sopa mandioca,Alface americana e cenoura ral.,Croquete de feijão 
