Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2018-04-11,Chá de erva-doce,Pão francês com doce de banana,Laranja,Picadinho especial,Macarrão alho e óleo,Creme de abacaxi,Alface americana e rabanete,Escondidinho de PTS,Peixe à milanesa c/ limão,Sopa leve,Rúcula e beterraba cozida,Nuguets de ervilha
2018-04-12,Chá de maçã,Pão hot dog com margarina ,Caqui,Peixefritono fubá,Abobrinha refogada,Laranja ,Rúcula e berinjelavinagrete,Empadão de legumes,Guisadinho (carne moída com milho e ervilha),Sopa de lentilha,Couve e macarronese,Batata com PTS
2018-04-13,Chá de camomila,Pão francês com doce de maçã,Mamão ,Almondega ao sugo,Aipim sauté,Melancia,Couve e tomate,Almôndega de abóbora lentilha,Frango chinês,Sopa creme de milho,Escarola e chuchu com TV,Legumes à chinesa com trigo em grão
2018-04-14,Chá de hortelã,Pão hot dog com presunto,Laranja,Filé de frango no limão,Risoto de legumes,Gelflan,Escarola e abobrinha,Hambúrguer de grão-de-bico,Tirinhas com champignon,Sopa de cenoura,Alface e vagem,Lentilha com champignon
2018-04-15,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Bifeà rolê,Purê misto com batata salsa,Mamão ,Alface e Beterraba ralada,Berinjela à rolê,Posta assada,Sopa de batata salsa,Mista verde e salada tropical,Bolinho de feijão
2018-04-16,Chá de morango,Pão hot dog com queijo,Maçã,Churrasco,Farofa completa,Laranja,Almeirão e tomate,Creme de ervilha,Lombo ao molho oriental,Caldo verde,Alface roxa e abobrinha,Grão-de-bico ao molho oriental
2018-04-17,Chá de maçã,Pão francês com margarina,Melão,Cubo suíno acebolado,Ratatouille, Gelatina de uva,Alface roxa e cenoura ralada,Soja com couve refogada,Sassami à milanesa,Sopa minestrone II,Radite evagem,Croquete de ervilha
2018-04-18,Chá de erva-doce,Pão hot dog com doce de maçã,Mamão ,Strogonoff de frango,Batata chips industrial,Flan de baunilha com calda,Radite e Pepino,Feijão branco ao sugo,Bife à pizzaiollo,Sopa raízes,Acelga e tomate,Almôndega de pts
2018-04-19,Chá de camomila,Pão francês com presunto,Salada de frutas,Bife à fantasia,Creme de Milho,Caqui,Acelgae cenoura ralada,Berinjela à rolê,Frango crocante,Sopa juliana,"Escarola e salada mista (tomate, cenoura ral, ervilha seca)",Panqueca de feijão cavalo
2018-04-20,Chá de hortelã,Pão hot dog com margarina,Laranja,Frango ao molho curry,Abobrinha colorida,Gelatina com creme,Escarola e beterraba ralada,Batata com PTS e curry,Picadinho de carne,Sopa da casa,Alfacecrespa e beterraba cozida,Soja refogadaao alho e óleo
2018-04-21,Chá de erva-cidreira,Pão francês com queijo,Banana,Carne de panela,Bolinho de cenoura,Banana ,Alface crespa e tomate,Soja chinesa,Frango a paulista,Sopa de abóbora,Rúcula e chuchu,Feijão Branco à paulista
2018-04-22,Chá de morango,Pão hot dog com margarina,Laranja,Risoto de Frango,Vagem refogada,Melancia,Rúcula e berinjela ao vinagrete,Risoto de Legumes,Lasanha a bolonhesa,Sopa primavera,Repolho e beterraba cozida,Bolinho de PTS
2018-04-23,Chá de hortelã,Pão hotdog com doce,Banana/Melão,Guisadinho (moída c/ milho e ervilha),Espaguete ao alho e óleo Maçã,NaN,Repolho bicolor e cenoura ral.,Guisadinho de PTS (moída c/ milho),Espeto de frango,Sopa feijão,Almeirão e tomate,Quibe com PTS
2018-04-24,Chá de erva-cidreira,Pão francês com presunto,Banana ,Filé de frango ao m. oriental,Jardineira de legumes,Torta de bolacha,Almeirão e beterraba ral.,Bolinho de feijão cavalo,Carne de panela,Sopa de legumes com macarrão,Agrião e pepino,Virado de couve c/ soja
2018-04-25,Chá morango,Pão hotdog com margarina,Melancia,Barreado,Farofa de banana,Mamão picado,Agrião e tomate,Legumes refogados com Ervilha,Bife ao molho mostarda,Canja,Escarola e beterraba ral,Legumes c/ trigo em grão
2018-04-26,Chá de camomila,Pão francês queijo,Laranja,Tirinhas ao molho escuro,Repolho à portuguesa,Sagu de leite,Escarola etabule,Grão de bico no shoyu,Peixe à milanesa,Sopa eslava,Alface americana e cenoura ral.,Croquete de aipim com triguilho
2018-04-27,Chá de maçã,Pão hotdog com margarina, Abacaxi,Peixe frito c/ limão,Creme de espinafre,Gelatina de morango,Alfaceamericana e pepino,Hambúrguer de feijão branco,Risoto de frango,Sopa creme de espinafre,Acelga e berinjela ao vinagrete,Nuguets de lentilha
2018-04-28,Chá de morango,Pão francês com doce de leite,Laranja,Frango assado ,Polenta ao molho,Maçã,Acelga e brócolis,Risoto de legumes,Nhoque à bolonhesa,Sopa caldo verde,Alface e chuchu ,Quiche de pts
2018-04-29,Chá de erva-doce,Pão hot dog com doce de banana,Maçã,Quibe de forma,Legumes sauté,Torta de amendoim,Alface e tomate,Quibe de berinjela,Bisteca acebolada,Sopa mineira,Escarola e rabanete,Grão de bico acebolado
2018-04-30,Chá de erva cidreira,Pão hotdog com margarina,Maçã ,Picadinho especial,Bolinho de arroz,Torta de bolacha,Acelga e cenoura ralada,Bolinho de feijão cavalo,Hambúrguer artesanal,Creme rio branco,Repolho e cenoura ral.,Grão de bico c/ abóbora
