Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-04-02,Chá de hortelã,Pão hotdog com queijo,Maçã ,Bisteca acebolada,Quirera c/ costelinha defumada,Laranja,Repolho verde e beterraba ralada,Hambúrguer de soja,Madalena de carne,Sopa de legumes,Alface crespa e tomate,Madalena de lentilha
2018-04-03,Chá de erva-cidreira,Pão francês com presunto,Banana ,Carne moída ao sugo,Macarrão na manteiga,Gelatina de cereja,Alface crespa e berinjela ao vinagrete,PTS ao sugo,Frango ao m. sugo– assado com alecrim (RUC),Sopa de feijão,Escarolae cenoura ralada,Panqueca de grão-de-bico
2018-04-04,Chá morango,Pão hotdog com margarina,Melancia,Frango na laranja, Seleta de legumes,Banana,Escarola e rabanete,Bolinho de feijão cavalo,Bife a rolê,Sopa minestrone I,Almeirão e beterraba ralada,Pimentão rech. c/ lentilha
2018-04-05,Chá de camomila,Pão francês com queijo,Mamão ,Bife de panela,Purê fácil de batata,Pudim prestígio,Almeirão e cenoura ralada,Charuto de repolho e lentilha,Fricassê de frango,Sopa londrina,Agrião e berinjela ao vinagrete,Feijão branco com milho
2018-04-06,Chá de maçã,Pão hotdog com doce de leite,abacaxi,Frango xadrez,Arroz chopsuey,Caqui,Agrião e tomate,Grão de bico xadrez,Carne ao vinho,Sopa caipira,Alface americana e rabanete,Abobrinha recheada com Feijão cavalo
2018-04-07,Chá de morango,Pão francês com margarina,Banana,Ensopado caipira,Virado de couve ,Gelatina miscelânea,Alface crespa e pepino,Ensopado caipira (c/ soja),Lasanha de frango,Sopa juliana com arroz,Radite e tomate,Lasanha de espinafre (usar massa sem ovos ou berinjela ou abobrinha)
2018-04-08,Chá de erva-doce,Pão hot dog com presunto,Maçã,Frango ao m. curry,Jardineira de legumes,Mamão fatiado,Radite e macarronese,Feijão branco ao curry,Bife à milanesa,Sopa da casa,Acelga e chuchu com milho verde,Quibe de PTS
2018-04-09,Chá de erva-cidreira,Pão francês com margarina,Banana,Bife acebolado,Repolho à portuguesa,Melãopicado,Escarola e beterraba ralada,Feijão cavalo com brócolis,Cubos de frango ao molho mostarda,Sopa campestre,Acelga e pepino,Grão-de-bico na mostarda
2018-04-10,Chá de morango,Pão hotdog com queijo,Maçã,Frango a paulista,Batata amassada,Sagu de vinho,Acelga e cenoura ralada,Feijão branco paulista,Goulash,Sopa Califórnia c/ arroz,Alface americana e tomate,Goulashvegano (com soja em grão)
