Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-11-01,Chá de camomila,Pão francês com queijo,Mamão ,Filé de frango ao molho mostarda ,Arroz shop suey,Pudim prestígio,Rúcula e tomate ,Soja em grão xadrez,Bife à milanesa,Sopa caipira,Escarola e istambul,Hambúrguer de triguilho c/ PTS
2018-11-03,Chá de morango,Pão francês com margarina,Banana,Ensopado caipira,Berinjela à milanesa,Gelatina miscelânea,Couve e pepino,Ensopado caipira c/ grão-de-bico,Empadão de frango,Sopa londrina,Radite e couve-flor ao vinagrete,Empadão de PTS com espinafre e milho 
2018-11-04,Chá de erva-doce,Pão hot dog com presunto,Creme de abacate,Frango ao m. curry,Jardineira de legumes,Mamão fatiado,Radite e tomate,Feijão branco ao curry,Bife de panela,Sopa da casa,Alface americana e chuchu com milho verde,Arroz c/ Lentilha e cebola
2018-11-05,Chá de erva-cidreira,Pão francês com margarina,Maçã,Bife acebolado,Repolho à portuguesa,Laranja,Escarola e beterraba ralada,Feijão cavalo com brócolis,Filé de frango à canadense,Sopa campestre,Radite e pepino,Grão-de-bico refogado
2018-11-06,Chá de morango,Pão hot dog com queijo,Banana,Frango a paulista,Polenta cremosa,Sagu de vinho,Radite e cenoura ralada,PTS paulista,Barreado,Sopa califórnia c/ arroz,Alface crespa e tomate,Barreado vegano (com soja em grão)
2018-11-07,Chá de erva-doce,Pão francês com patê de cenoura ,Laranja,Picadinho ,Macarrão alho e óleo,Melão,Alface crespa e rabanete,Lentilha refogada,Peixe à milanesa c/ limão,Sopa leve,Acelga e beterraba cozida,Nuggets de ervilha
2018-11-08,Chá de maçã,Pão hot dog com margarina ,Melão,Peixe frito no fubá c/ molho roseé,Abobrinha refogada,Creme de abacaxi,Acelga e tomate,Escondidinho de trigo em grão,Moída c/ legumes ,"Sopa de lentilha (sem cenoura, mas c/ seu PC em batata)",Couve e macarronese,Feijão branco com legumes
2018-11-09,Chá de camomila,Pão francês com doce de maçã,Mamão ,Carne moída c/ ervas,Batata amassada com TV,Melancia,Couve e berinjela ao vinagrete,Soja em grão com ervas,Filé de frango ao molho du cheff,Sopa minestronni II,Rúcula e chuchu com milho verde,Hambúrguer de PTS
2018-11-10,Chá de hortelã,Pão hot dog com presunto,Laranja,Filé de frango no limão,Brócolis e couve-flor sauteé,Gelflan de morango,Rúcula e abobrinha,Nuggets de grão-de-bico,Tirinhas ao molho escuro com champignon,Sopa de cenoura c/ curry ,Alface roxa e vagem,Lentilha com champignon no shoyo
2018-11-11,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Bife à rolê,Purê de aipim ,Salada de frutas,Alface roxa e beterraba ralada,"Berinjela à rolê com cenoura, vagem e ervilha seca",Posta recheada,Sopa canja,Almeirão e salada tropical,Bolinho de feijão fradinho
2018-11-12,Chá de morango,Pão hot dog com queijo,Maçã,Churrasco,Farofa completa com couve,Mamão,Almeirão e tomate,Trigo em grão à fantasia ,Bife suíno ao molho mostarda,Sopa de raízes,Escarola e abobrinha ao vinagrete,Grão-de-bico ao molho mostarda
2018-11-13,Chá de maçã,Pão francês com margarina,Melão,Bisteca suína acebolada,Ratatouille,Flan de baunilha com calda,Escarola e cenoura ralada,Soja acebolada,Filé de frango à milanesa,Sopa creme de milho,Radite e vagem,Croquete de ervilha
2018-11-14,Chá de erva-doce,Pão hot dog com doce de maçã,Mamão ,Strogonoff de frango,Batata chips ,Laranja,Radite e pepino,Strogonoff de feijão branco,Bife à pizzaiollo,Caldo verde,"Acelga e salada mista (tomate, cenoura ralada ervilha seca)",Almôndega de PTS à pizzaiollo
2018-11-17,Chá de erva-cidreira,Pão francês com queijo,Melancia,Cubos ao molho escuro (coxão mole peça),Bolinho de cenoura,Banana ,Alface crespa e tomate,Soja chinesa,Frango à passarinho (enviar receita e testar como servir),Sopa eslava,Rúcula e chuchu com TV,Panqueca de lentilha
2018-11-18,Chá de morango,Pão hot dog com margarina,Laranja,Bife suíno com abacaxi,Abóbora refogada,Melancia,Rúcula e berinjela ao vinagrete,Hambúrguer de Grão-de-bico ,Lasanha à bolonhesa,Sopa primavera,Repolho e beterraba cozida,Lasagna de berinjela com PTS
2018-11-19,Chá de hortelã,Pão hot dog com margarina,Melão,Guisadinho (moída c/ milho e ervilha),Espaguete ao alho e óleo,Maçã,Repolho bicolor e cenoura ralada,Guisadinho de PTS c/ milho e ervilha,Espeto de frango,Sopa creme de espinafre,Almeirão e tomate,Espeto de legumes c/ bolinha de grão-de-bico
2018-11-20,Chá de erva-cidreira,Pão francês com presunto,Banana ,Filé de frango acebolado ,Creme de milho,Gelatina de morango,Almeirão e beterraba ralada,Bolinho de feijão cavalo,Carne de panela,Sopa da casa,Agrião e pepino,Tomate recheado c/ ervilha seca
2018-11-21,Chá morango,Pão hot dog com doce de leite,Melancia,Barreado,Farofa de banana,Laranja,Agrião e tomate,Ervilha seca com legumes refogados,Peixe no fubá com m. tártaro,Sopa londrina,Alface americana e cenoura ralada,Croquete de feijão fradinho
2018-11-22,Chá de maçã,Pão hot dog com margarina, Abacaxi,Peixe à milanesa c/ limão,Seleta de legumes,Pavê de bolacha,Alface americana e rabanete,Grão de bico refogado,Bife ao m. escuro (cx mole),Sopa mineira,Escarola e beterraba ralada,Trigo em grão ao m. escuro
2018-11-23,Chá de camomila,Pão francês queijo,Mamão,Bife à cigana (cx mole),Repolho refogado,Salada de frutas,Escarola e tabule (sem alface),Nuggets de feijão branco,Filé de frango ao molho oriental,Sopa juliana c/ arroz,Acelga e rabanete,Hambúrguer de feijão cavalo c/ m. oriental
2018-11-24,Chá de morango,Pão francês com doce de banana,Laranja,Frango assado ,Polenta ao sugo,Maçã,Acelga e brócolis,Bolinho de Lentilha com abóbora ,Nhoque à bolonhesa,Sopa de abóbora,Alface e chuchu ,Nhoque vegano (c/ molho de pts)
2018-11-25,Chá de erva-doce,Pão hot dog com presunto,pêssego,Quibe de forma,Vagem sautée ,Espumoni de uva,Alface e tomate,Quibe de PTS c/ berinjela,Bisteca acebolada,Sopa leve,Escarola e maionese,Grão-de-bico acebolado
2018-11-27,Chá de camomila,Pão francês com presunto,Melancia,Filé de frango à milanesa,Abobrinha refogada,Creme de abacaxi,Almeirão e tomate ,Torre de berinjela (com ervilha seca),Frango à paulista,Sopa de mandioca,Radite e cenoura ralada,Pimentão recheado com grão-de-bico
2018-11-28,Chá Maçã,Pão hot dog c/ doce de abóbora, Laranja,Carne moída ao sugo,Purê prático,Sagú de vinho,Repolho e beterraba ralada,Trigo em grão c/ PTS ao sugo,Cubos de coxão mole ao molho mostarda,Sopa Califórnia,Alface e chuchu com milho verde,Lasagna de abobrinha verde com feijão  branco
2018-11-29,Chá de morango,Pão francês com patê de frango, Banana,Frango assado/frito ,Quibebe,Gelatina miscelânea,Radite e Berinjela ao vinagrete,Hambúrguer de soja,Quibe,Canja,Agrião e abobrinha cozida,Quibe de PTS
2018-11-30,Chá de erva doce,Pão hot dog com margarina,Abacaxi,Tirinhas de carne ao molho oriental,Legumes refogado,Banana,Alface e brócolis,Bolinho de lentilha,Frango americano,Creme rio branco,Escarola e rabanete,Croquete de trigo em grão 
