Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-06-04,Chá de hortelã,Pão hotdog com margarina,Caqui,Picadinho de Carne,Repolho refogado,Laranja,Escarola e beterraba ralada,PTS colorido (c/ pts),Iscas de frango namostarda,Sopa de lentilha,Alface americanae pepino,Feijão branco m. mostarda
2018-06-05,Chá de erva-cidreira,Pão francês com presunto,Ponkan,Frango grelhado ,Risoto de legumes,Gelatina cereja c/ creme,Alface americana e berinjela,Trigo em grão refogado,Bife suíno ao molho do cheff,Sopa minestronni I ,Acelga e abobrinha,GRÃO DE BICO AO M. CHEF
2018-06-06,Chá morango,Pão hotdog com doce de banana,Mamão,Bisteca à cigana,Quibebe,Melão fatiado,Acelga e cenoura ralada,Arroz c/ lentilha acebolada,Bife à espanhola,Caldo italiano,Escarola e tomate,Almôndega de soja
2018-06-07,Chá de camomila,Pão francês com queijo,Melão,Bife acebolado,Batata souté,Pudim de chocolate,Almeirão e tomate,Feijão cavalo ao alho e óleo,Frango crocante,Sopa creme de milho,Alface crespa e cebolete (teste p/ aprovação),Berinjela recheado c/ ervilha seca
2018-06-08,Chá de maçã,Pão hotdog com doce de leite,Banana,Frango ao molho sugo (coxa/sob),Polenta cremosa,Mamão picado,Alface crespa e pepino,Feijão branco ao sugo,Hamburgger artesanal,Sopa juliana com arroz,Agrião e cenoura cozida,Hamburgger depts
2018-06-09,Chá de morango,Pão francês com margarina,Maçã,Quibe assado,Vagem refogada,Gelatina de uva,Agrião e repolho,Quibe de pts,Risoto de frango,Sopa húngara,Escarola e beterraba,Abobrinha recheada c/ trigo em grão
2018-06-10,Chá de erva-doce,Pão hot dogcompresunto,Melancia,Frango à paulista,Macarrão na manteiga,Salada de frutas,Escarola e tomate,Soja à paulista,Bife à milanesa,Sopa caipira,Almeirão e chuchu com milho ,Charuto de repolho c/ lentilha
2018-06-11,Chá de erva-cidreira,Pão francês com margarina,Banana,Churrasco,Virado de couve,Banana,Escarola e beterraba ralada,Guisado de feijão fradinho,Frango xadrez,Sopa leve,Alface crespa e abobrinha ralada,Escondidinho com soja em grão
2018-06-12,Chá de morango,Pão hotdog com queijo,Salada de frutas,Frango ao molho de curry,Chuchu c/ cenoura refogados,Gelatina framboesa,Alface crespa e pepino,Grão de bico ao curry,Goulash,Sopa canja,Acelga e tomate,Goulashveganoc/ feijão cavalo
2018-06-13,Chá de erva-doce,Pão francês com doce de banana,Laranja,Carne de panela,Batata doce corada,Ponkan,Acelga e berinjela ao vinagrete,Pts ao sugo,Peixe no fubá,Sopa creme de cebola,Agriãoe cenoura cozida,Croquete de ervilha seca
2018-06-14,Chá de maçã,Pão hot dog com margarina ,Caqui,Peixe à milanesa ,Abobrinha refogada,Flan de baunilha c/ calda,Agrião e Rabanete,Hambúrguer de feijão branco,Bife de panela,Caldo verde,Alface americana e tabule (sem alface),Grão de bico ao sugo
2018-06-15,Chá de camomila,Pãofrancêscomdoce de leite,Mamão ,Bife a fantasia,Creme de milho,Laranja,Alfaceamericana e tomate,"Risoto de grãos (ervilha, lentilha, legumes)",Panqueca de frango,Sopa abóbora,Mista verdeII (c/ rúcula) e beterraba ralada,Panqueca de legumes c/ PTS
2018-06-16,Chá de hortelã,Pão hot dog com presunto,Ponkan,Frango ao sugo,Polenta frita,Maçã,Rúculae cenoura ralada,Grão de bico ao sugo,Posta assada recheada,Caldo italiano,Alface crespa ebrócolis c/ c-flor,Torta de trigo em grão
2018-06-17,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Costela assada,Farofa de cenoura,Abacaxi,Alface crespa etomate ,Soja refogada ,Lasanha à bolonhesa,Sopa primavera,Repolho verde e berinjela ao vinagrete,Lasanha de abobrinha c/ pts
2018-06-18,Chá de morango,Pão hot dog com queijo,Maçã,Carne moída ao sugo,Macarrão na manteiga,Mamão picado,Escarolae pepino,Ptsao sugo,Bife acebolado (coxão mole),Sopa da casa,Agrião e rabanete,Nuggets de ervilha 
2018-06-19,Chá de maçã,Pão francês com margarina,Banana,Bife ao molho escuro,Jardineira de legumes,Sagú de vinho,Rúcula e rabanete,Grão de bico ao molho escuro,Risoto,Sopa londrina,Alface crespa e beterraba ralada,Lentilha com arroz e cebola
2018-06-20,Chá de erva-doce,Pão hot dog com doce de leite,Mamão ,Strogonof de frango,Batata chips,Ponkan,Alface crespa e berinjela ,Croquete de ervilha,Picadinho ,Sopa de raízes,"Radite e Natural (alface, pimentão, tomate, trigo p/ quibe, TV)",Chuchu recheado c/ PTS
2018-06-21,Chá de camomila,Pão francês com presunto,Salada de frutas,Barreado,Farofa de banana,Espuma morango,Raditee abobrinha ralada,Hambúrguer de soja,Bife suíno na mostarda (base amido),Minestronni II,Couve e cenoura c/ chuchu,Cuscuz com feijão fradinho
2018-06-22,Chá de hortelã,Pão hot dog com margarina,Laranja,Bisteca ao mol de pimentão,Quirera c/ costelinha,Banana surpresa,Couve e Beterraba cozida,Feijão cavalo ao mol de pimentão,Espetinho de frango à milanesa,Sopa eslava,Repolho bicolor e tomate ,Grão de bico ao alho e óleo
2018-06-23,Chá de erva-cidreira,Pão francês com queijo,Banana,Frango assado c/ alecrim,Ratatouille,Melancia,Alface crespa e tomate,Bolinho de lentilha,Cubos ao m. escuro,Sopa creme de abóbora,Rúcula e chuchu,Feijão branco ao molho escuro
2018-06-24,Chá de morango,Pão hot dog com margarina,Laranja,Bife à rolê,Polenta,Pudim bicolor,Rúcula e beterraba ral c/ maionese,Quiche de legumes,Empadão de frango,Sopa de legumes ,Alface e cenoura c/ vagem,Empadão de legumes
2018-06-25,Chá de hortelã,Pão hotdog com margarina,Melão,Carne de panela,Purê prático,Alface e tomate,Banana,Feijão branco refogado,Frango grelhado,Sopa leve,"Almeirão e Russa (batata, beterraba e maionese)",Hamburgger de feijão branco
2018-06-26,Chá de erva-cidreira,Pão francês com presunto,Banana ,Frango frito/assado ao molho de mostarda,Abobrinha refogada,Caqui,Almeirão e Chuchu c/ orégano,Torre de berinjela com recheio de ervilha seca,Strogonoff de patinho,Batata chips,Escarola e tomate,Charuto de lentilha ao sugo
2018-06-27,Chá morango,Pão hotdog com doce de abóbora,Melancia,Tirinhas de carne ao molho escuro com champignon,Macarrão ao alho e óleo,Salada de frutas,Escarola e Beterraba ralada,Trigo em grão ao molho escuro com champignon,Almondega ao sugo,Sopa califórnia,Agrião e vagem,Almondega de abóbora c/ trigo em grão
2018-06-28,Chá de maçã,Pão francês c/ margarina,Laranja,Carne moída com molho de ervilha e cenoura,Bolinho de arroz,Gelatina de limão,Agrião e tomate,Lentilha com molho de ervilha e cenoura,Peixe à milanesa,Sopa creme de espinafre ou brócolis,Rúcula e cenoura cozida,Abobrinha recheada c/ feijão cavalo
2018-06-29,Chá decamomila,Pão hotdogc/ queijo,Salada de frutas,Peixe frito (no fubá) c/ limão,Legumes refogados,Torta de amendoim ,Rúcula e pepino,Croquete de grão de bico,Bife à rolê,Sopa de aipim,Alface crespa e abobrinha ralada ,Berinjela à rolê (com pasta de ervilha seca)
2018-06-30,Chá de morango,Pão francês com doce de leite,Mamão,Bife à fantasia,Batata amassada ,Maçã,Alface crespa e rabanete,Soja à fantasia,Rocambole de carne,Sopa primavera,Almeirão e beterraba cozida,"Torta de espinafre (c/ ervilha, cenoura e abobrinha)"
