Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-07-02,Chá de hortelã,Pão hotdog com queijo,Maçã/Ponkan,Bisteca à cigana,Quirera à moda,Laranja,Repolho verde e beterraba ralada, Soja ao molho oriental,"Carne mexicana (moída, molho o sugo, azeitona, molho de pimenta)",Sopa canja,Alface crespa e pepino,Chilli vegano (feijão cavalo)
2018-07-03,Chá de erva-cidreira,Pão francês com doce de banana,Kiwi,Almôndega à chinesa,Chuchu e cenoura refogados,Banana,Alface roxa e abobrinha ralada,Pts c/ legumes à chinesa,Frango crocante (coxa/sobrecoxa),Sopa Londrina,Escarola e cenoura ralada,Hambúrguer de Trigo em grão 
2018-07-04,Chá morango,Pão hotdog com presunto,Melão,Frango ao sugo m. vermelho (coxa/sobrecoxa),Polenta cremosa ,Gelatina de cereja,Escarola e rabanete,Bolinho de feijão cavalo ao sugo,Bife ao m. oriental (coxão mole),Sopa de aipim,Almeirão e beterraba ralada,Feijão branco ao m. oriental
2018-07-05,Chá de camomila,Pão francês com margarina,Mamão ,Bife à rolé m. vermelho,Macarrão na manteiga,Pudim prestígio,Almeirão e cenoura ralada,"Berinjela à rolé (vagem, cenoura, cebola)",Fricassê de frango,Sopa Minestroni I ,Agrião e tomate,Croquete de ervilha c/ curry
2018-07-06,Chá de maçã,Pão hotdog com doce de leite,Laranja,Frango xadrez,Arroz chop suey,Ponkan,Agrião e pepino,Grão de bico xadrez,Carne de panela,Sopa caipira,Alface crespa e rabanete,Arroz c/ lentilha e cebola frita
2018-07-07,Chá de morango,Pão francês com margarina,Banana,Churrasco,"Cuscuz (ovo, ervilha, azeitona)",Gelflan,Alface crespa e tomate,Soja em grão com cenoura ao sugo,Lasanha de frango,Sopa juliana com arroz,Radite e cenoura ralada,Lasanha de berinjela (c/ pts)
2018-07-08,Chá de erva-doce,Pão hot dog com presunto,Maçã,Frango ao m. curry,Legumes refogados,Melão fatiado,Radite e macarronese,Feijão branco ao curry,Bife à milanesa,Sopa da casa,Escarola e chuchu com milho verde,Quibe de abóbora
2018-07-09,Chá de erva-cidreira,Pão francês com margarina,Banana,Bife acebolado,Repolho à portuguesa,Mamão fatiado,Escarola e beterraba ralada,Feijão cavalo com cenoura e vagem,Frango ao molho mostarda (coxa/sobrec.),Sopa campestre,Acelga e tabule (s/ alface),Grão de bico na mostarda
2018-07-10,Chá de morango,Pão hot dog com queijo,Maçã,Frango frito (coxa/sobrec.),Creme de milho,Sagu de vinho,Acelga e cenoura ralada,Nuggets de soja,Goulash,Sopa Califórnia c/ arroz,Alface crespa e tomate,Goulash vegano (com soja em grão)
2018-07-11,Chá de erva-doce,Pão francês com presunto,Kiwi,Picadinho especial,Batata doce corada,Laranja,Alface crespa e rabanete,Trigo em grão especial,Peixe à milanesa c/ limão,Sopa leve,Escarola e beterraba ralada,Charutinho de repolho c/ lentilha
2018-07-12,Chá de maçã,Pão hot dog com margarina ,Caqui,Peixe frito no fubá,Abobrinha refogada,Banana Surpresa,Escarola e tomate,Croquete de ervilha,Panqueca de Carne moída,Caldo Italiano,"Rúcula e mista (cenoura, vagem, ab ) cozida ",Panqueca de P.T.S
2018-07-13,Chá de camomila,Pão francês com doce de maçã,Mamão ,Carne moída ao sugo,Aipim c/ cheiro verde,Ponkan,Rúcula e berinjela,Grãos refogados ao sugo,Frango chinês,Sopa Creme de Milho ,Escarola e chuchu com cheiro verde,Trigo em grão à chinesa
2018-07-14,Chá de hortelã,Pão hot dog com presunto,Laranja,Filé de frango grelhado,Risoto de legumes,Gelatina de abacaxi,Escarola e pepino,Hambúrguer de feijão branco,Tirinhas ao molho de pimentão (coxão mole),Sopa Creme de Batata,Alface e cenoura ralada,Grão de bico m. pimentão
2018-07-15,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Costela ao molho,Batata dourada,Mamão fatiado,Alface e beterraba ralada,Pimentão recheado com soja em grão,Posta assada,Sopa de camponesa,Mista verde e vagem,Croquete de feijão cavalo
2018-07-16,Chá de morango,Pão hot dog com queijo,Maçã,Churrasco,Farofa completa com couve,Laranja,Almeirão e tomate,Lentilha refogada,Bisteca acebolada,Sopa Creme de Abóbora (s/ macarrão),"Alface crespa e Mista (Tomate, Ervilha e Cenoura ralada)",Trigo em grão acebolado
2018-07-17,Chá de maçã,Pão francês com margarina,Melão,Bisteca suína ao molho escuro,Quirera com costelinha,Gelatina de uva,Alface crespa e cenoura ralada,Feijão fradinho ao molho escuro,Frango americano ,Sopa minestrone II,Radite e beterraba cozida,Nuggets de ervilha
2018-07-18,Chá de erva-doce,Pão hot dog com doce de maçã,Salada de frutas,Frango à paulista,Creme de espinafre,Mamão,Radite e Pepino,Pts à paulista,Bife à pizzaiollo (coxão mole),Sopa raízes,Acelga e tomate,Hamburguer de PTS ao sugo
2018-07-19,Chá de camomila,Pão francês com presunto,Mamão,Bife à fantasia (coxão  mole) ,Quibebe ,Flan de baunilha com calda,Acelga e beterraba ralada,Soja à fantasia,Frango xadrez,Sopa juliana c/ arroz,Escarola e Macarronese,Grão de bico xadrez
2018-07-20,Chá de hortelã,Pão hot dog com margarina,Laranja,Strogonoff de frango,Batata chips (caseira),Maçã,Escarola e rabanete,Feijão branco ao sugo,Bife à milanesa,Sopa da casa,"Alface crespa e camponesa (repolho, tomate, azeitona)",Soja refogada ao alho e óleo
2018-07-21,Chá de erva-cidreira,Pão francês com queijo,Banana,Carne de panela,Bolinho de arroz,Gelatina de limão,Alface crespa e tomate,Lentilha de panela,Puchero ,Sopa de fubá (c/ moída),Rúcula e chuchu,Puchero vegano (c/ grão de bico)
2018-07-22,Chá de morango,Pão hot dog com margarina,Maçã,Pernil ao m. oriental,"Legumes sautée (chuchu, cenoura, vagem)",Laranja,Rúcula e berinjela ao vinagrete,Grão de bico acebolado,Nhoque à bolonhesa,Sopa primavera,Repolho e beterraba cozida,Nhoque à bolonhesa (c/pts)
2018-07-23,Chá de hortelã,Pão hotdog com doce de leite,Melão,Carne moída com ervilha,Purê de batata pratico,Ponkan,Repolho bicolor e cenoura ralada,PTS c/ ervilha,Peixe ao m. tártaro ,Sopa de carne c/ legumes,Almeirão e tomate,Batata recheada c/ lentilha
2018-07-24,Chá de erva-cidreira,Pão francês com presunto,Banana ,Peixe à milanesa com limão,Ratatouille,Pavê de bolacha,Almeirão e beterraba ralada,Bolinho de feijão cavalo,Carne de panela,Sopa Creme de Espinafre,Escarola e tabule,Virado de couve c/ feijão fradinho
2018-07-25,Chá morango,Pão hotdog com margarina,Maçã,Barreado,Farofa de banana,Laranja,Escarola e tomate,Trigo em grão refogado,Bife ao molho escuro (coxão mole),Canja,Caipira e beterraba ralada,Trigo em grão ao molho escuro 
2018-07-26,Chá de camomila,Pão francês c/ queijo,Salada de frutas,Tirinhas à chinesa,Espaguete alho e óleo,Gelatina de morango,Agrião e rabanete,Grão de bico à chinesa,Frango frito ,Sopa eslava,Alface crespa e cenoura ralada,Croquete de feijão cavalo
2018-07-27,Chá de maçã,Pão hotdog com margarina,Mamão,Coxa/sobrecoxa ao molho curry,Seleta de legumes,NaN,Alface crespa e pepino,Hambúrguer de soja,Picadinho especial,Sopa de lentilha,Acelga e berinjela ao vinagrete,Charuto de repolho (c/PTS)
2018-07-28,Chá de morango,Pão francês com doce de banana,Laranja,Quibe assado,Creme de brócolis,Maçã,Acelga e beterraba cozida,Quibe de abóbora,Bife à parmegiana (coxão mole),Sopa Caipira,Alface e chuchu ,Bolinho de batata c/ ervilha
2018-07-29,Chá de erva-doce,Pão hot dog com presunto,Maçã,Posta ao molho,Batata amassada,Espuma de cereja,Alface e vagem,Lentilha refogada,Bisteca acebolada,Sopa Mineira,Escarola e rabanete,Tomate recheado com feijão branco
2018-07-30,Chá de erva cidreira,Pão hotdog com margarina,Maçã ,Picadinho de carne,Abobrinha colorida ,Sagú de vinho,Acelga e cenoura ralada,Feijão cavalo refogado,"Carne mexicana (moída, molho ao sugo, azeitona, molho de pimenta) Manter se tiver boa aceitação ",Sopa abóbora,Repolho e maionese,Soja Mexicana
2018-07-31,Chá de camomila,Pão francês com queijo,Mamão,Filé de frango grelhado,Creme de milho,Maçã,Almeirão e rabanete,Quibe de berinjela,Frango à Paulista (cx/sbcx),Sopa de fubá c/ moída,Radite e Couve Flor,Pimentão recheado c/triguilho
