Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-12-03,Chá de erva cidreira,Pão francês com margarina,Melancia  ,Bife à fantasia,Repolho refogado,Maçã,Acelga e cenoura ralada,Feijão branco à fantasia,Filé de frango ao molho de limão,Sopa de abóbora,Folhas mix e beterraba ralada,Puchero vegano
2018-12-04,Chá de morango,Pão hotdog com queijo,Salada de frutas,Cubos de frango ao molho mostarda,Batata amassada  Jardineira de legumes (foi tirado o arroz da guarnição devido a reclamações na pesquisa),Mamão picado,Agrião com milho e rabanete,Grão de bico com cenoura ao m. mostarda,Almôndegas ao sugo,Sopa mineira,Escarola e pepino,Almôndega ao sugo (PTS)
2018-12-05,Chá de erva-doce,Pão francês com doce de banana,Laranja,Carne moída refogada,Macarrão na manteiga,Gelatina de morango com creme,Escarola e berinjela,Charuto de repolho (c/ pts e arroz integral),Peixe à milanesa com molho rosé,Sopa leve,Acelga e salada natural,Nuggets de ervilha partida
2018-12-06,Chá de maçã,Pão hot dog com margarina ,Maçã,Peixe frito no fubá c/ limão,Jardineira de legumes Creme de brócolis,Pudim prestígio,Repolho acelga e beterraba ralada,Bolinho de lentilha,Bife à rolê,Sopa califórnia,Alface americana e vagem,Berinjela à rolêcom pasta de feijão branco
2018-12-07,Chá de camomila,Pãofrancêscomdoce de leite,Mamão ,Picadinho de carne,Bolinho de espinafre   arroz,Laranja,Alface crespa e tomate,Pimentão recheado com soja,Coxa/sobrecoxa à canadense,Sopa de legumes com arroz,Rúcula e batata salsa,Bolinho de grão de bico
2018-12-08,Chá de hortelã,Pão hot dog com presunto,Melão,Frango com alecrim,Cenoura ao molho branco,Melancia,Rúcula e vagem,"Rocambole de PTS (PTS com farinha de rosca e trigo, cebola e temperos recheado com tomate e cebola",Posta ao molho,Caldo verde,Salada caipira e cenoura ralada,Lentilha com arroz e cebola frita
2018-12-09,Chá de erva-cidreira,Pão hot dog com margarina,Salada de frutas,Espetinho de carne a milanesa,Creme de brócolis Ratatouille,Gelatina,Escarola e cenoura,Espetinho de legumes com grão de bico,Bisteca ao mollho do cheff,Sopa primavera,Repolho verde e tomate,Hambúrguer de feijão cavalo
2018-12-10,Chá de morango,Pão hot dog com queijo,Maçã,Bisteca à cigana,Quirera com costelinha,Laranja,Acelga e beterraba ralada,Soja à cigana,Nhoque à bolonhesa,Sopa minestrone II,Agrião e berinjela,Nhoque vegano (PTS)
2018-12-11,Chá de maçã,Pão francês com margarina,Banana,Almôndega à chinesa,Abobrinha refogada,Gelatina de cereja,Agrião e rabanete,Feijão cavalo c/ legumes,Frango xadrez,Sopa londrina,Alface americana e beterraba ralada,Grão de bico xadrez
2018-12-12,Chá de erva-doce,Pão hot dog com patê de azeitona,Mamão ,Filé de frango grelhado,Creme de milho,Salada de frutas,Alface americana e tomate,Tomate recheado com lentilha,Bife ao molho escuro,Caldo de batata salsa com bacon,Radite e vagem,Bolinho de soja
2018-12-13,Chá de camomila,Pão francês com presunto,Salada de frutas,Bife acebolado,Cenoura e chuchu na manteiga,Sagú de vinho,Radite e Pepino,Hambúrguer de Feijão branco,Ensopado caipira,Sopa de fubá,Couve e tomate,Trigo em grão caipira
2018-12-14,Chá de hortelã,Pão hot dog com margarina,Melancia,Strogonoff de carne,Batata chips,Pêssego,Couve e abobrinha ralada,Picadinho vegano (pts ao sugo temperada),Frango crocante,Sopa creme de abóbora,Alface crespa e macarronese,Hambúrguer de grão de bico
2018-12-15,Chá de erva-cidreira,Pão francês com queijo,Banana,Frango assado (coxa/sobr),Legumes refogados,Morgote,Alface crespa e tomate,Bolinho de abóbora com trigo em grão e tempero verde,Espetinho de carne à milanesa já servido no domingo anterior almoço – sugiro iscas com pimentão e cebola,Sopa de legumes c/ macarrão,Rúcula e beterraba cozida,"Espetinho de legumes c/lentilha (berinjela, tomate, pimentões)"
2018-12-16,Chá de morango,Pão hot dog com margarina,Laranja,"Iscas de carne com legumes e shoyo (cebola, tomate ebrócolis)",Espaguete na manteiga,Mamão picado,Rúcula e berinjela ao vinagrete,Lentilha refogadac/ brócolis,Lasanha à bolonhesa (servirá no jantar ou no almoço de 21/12?),Canja,Repolhobicolor e chuchu,Bolinho de PTS
2018-12-17,Chá de hortelã,Pão hotdog com margarina,Pêssego,Churrasco,Farofa completa,Melão,Escarola e cenoura ralada,Pts à gaúcha,Estrogonofe de frango ,"Batata chips acho que desta vez, como são poucas refeições consigo convencer a Ana Paula a servir a batata OK",Almeirão e tomate,Estrogonofe de feijão cavalo
2018-12-18,Chá de erva-cidreira,Pão francês com presunto,Banana ,Frango assado (coxa/sobrecoxa),Quibebe,Pudim de chocolate com calda,Almeirão e beterraba ralada,Bolinho de lentilha,Costela assada,Sopa de aipim,Agrião e salada istambul,Abobrinha recheada com soja
2018-12-19,Chá morango,Pão hotdog com doce de frutas,Melancia,Barreado,Banana à milanesa,Abacaxi fatiado,Agrião e rabanete,Barreado vegano (feijão cavalo),Copa lombo com pimentão,Sopa da casa,Escarola e beterraba ralada,Croquete de ervilha
2018-12-20,Chá de camomila,Pão francês c/ margarina,Laranja,Bisteca ao molho do cheff,Brócolis e couve-flor sauté,Gelatina de uva,Escarola e tomate,Grão de bico ao molho do cheff,Panqueca de carne,Sopa creme rio branco,Rúcula e cenoura ralada,Panqueca de trigo em grão 
2018-12-21,Chá de maçã,Pão hotdogc/ queijo,Maçã,"Lasanha à bolonhesa (estudar a logística do agrárias, pois normalmente a lasanha é preparada nas formas grandes de sobremesa, para lá deve ser na pequena para conseguir transportar)",Vagem ao alho e óleo,Melancia,Rúcula e salpicão de legumes,Lasanha de berinjela com PTS,Iscas de frango ao molho curry  ,Sopa de ervilha,Alface crespa e salada tropical,"PTS com legumes (brócolis, vagem, milho)"
