Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2018-05-18,Chá de camomila,Pãofrancêscomdoce de leite,Mamão ,Strogonoff de carne,Batata chips,Laranja,Alface americana e tomate,"Pimentão recheado com PTS, arroz e tomate",Coxa/sobrecoxa à canadense,Sopa de lentilha,Mista verde e salada tropical,Bolinho de feijãocavalo
2018-05-19,Chá de hortelã,Pão hot dog com presunto,Caqui,Frango c/ alecrim,Cenoura ao m. branco,Melão,Rúcula e beterraba ralada,"Rocambole de pts (PTS com farinha de rosca e de trigo, cebola e temperos recheado comtomate e cebola",Picadinho,Sopa húngara,Escarola e batata salsa,Lentilha com arroz e cebola frita
2018-05-20,Chá de erva-cidreira,Pão hot dog com margarina,Melancia,Goulash,Farofa rica,Gelatina,Escarola e cenoura,"Panqueca de trigo em grão com cebola, tomate e tempero verde",Bisteca ao mol do cheff,Sopa primavera,Repolho verde e tomate,Almondega de pts
2018-05-21,Chá de morango,Pão hot dog com queijo,Maçã,Bisteca à cigana,Quirera com costelinha,Ponkan,Repolho bicolor e cenoura,Soja à cigana,Quibe frito/assado,Sopa juliana,Agrião e beterraba ralada,Quibe vegano (c/ pts)
2018-05-22,Chá de maçã,Pão francês com margarina,Banana,Almôndega à chinesa,Creme de espinafre/milho,Gelatina de cereja,Agrião e rabanete,Quibe de PTS,Fricassê de frango,Sopa londrina,Alface crespa e abobrinha,Charutinho de lentilha
2018-05-23,Chá de erva-doce,Pão hot dog com doce de leite,Mamão ,Frango xadrez,Arroz chop suey,Banana surpresa,Alface crespa e beterraba ralada,Grão de bico xadrez,Bife ao sugo,Caldo de batata salsa c/ bacon,Radite e vagem,Bolinho de feijão branco
2018-05-24,Chá de camomila,Pão francês com presunto,Salada de frutas,Bife acebolado,Cenoura e chuchu na manteiga,Laranja,Radite e Pepino,Feijão branco com legumes,Ensopado caipira,Caldo verde,Acelga e tomate,Trigo grão refogado com cenoura e vagem
2018-05-25,Chá de hortelã,Pão hot dog com margarina,Laranja,Picadinho de carne,Bolinho de arroz,Sagu de vinho,Acelga e abobrinha ralada,Picadinho vegano (pts ao sugo temperada),Filé de frango a milanesa,Creme de milho sopa legumes,Alface crespa e rabanete,Hamburguer de grão de bico
2018-05-26,Chá de erva-cidreira,Pão francês com queijo,Banana,File de Frango acebolado,Jardineira de legumes,Banana ,Alface crespa e tomate,Abóbora com trigo em grão e tempero verde,Cubos ao m. escuro,Sopa creme de abóbora,Rúcula e chuchu,Empadão de legumes
2018-05-27,Chá de morango,Pão hot dog com margarina,Laranja,"Iscas de carne com legumes e shoy-u (cebola, tomate, brócolis, cenoura)",Espaguete na manteiga,Mamão picado,Rúcula e berinjela ao vinagrete,Lentilha refogada,Nhoque à bolonhesa,Sopa Califórnia com arroz,Repolho e beterraba cozida,Bolinho de PTS
2018-05-28,Chá de hortelã,Pão hotdog com margarina,Melão,Bife à gaúcha,Purê prático,Escarola e cenoura ral.,Maçã,Pts à gaúcha,Frango frito/assado (coxa/sobrecoxa),Sopa de raízes,Almeirão e tomate,Feijão branco à chinesa
2018-05-29,Chá de erva-cidreira,Pão francês com presunto,Banana ,Frango assado/frito ao sugo,Abobrinha refogada,Creme de chocolate,Almeirão e beterraba ral.,Bolinho de lentilha,Carne ao molho de ervilha,Sopa de minestrone I,Agrião e pepino,"Legumes com PTS(brócolis, cenoura, ervilha e milho)"
2018-05-30,Chá morango,Pão hotdog com doce de frutas,Melancia,Barreado,Farofa simples,Banana,Agrião e rabanete,Barreado de Pts,Pernil com pimentão e cebola,Sopa mineira,Escarola e beterraba ralada,Croquete de ervilha
2018-05-31,Chá de camomila,Pão francês c/ margarina,Laranja,Pernil acebolado,Abóbora refogada,Gelatina delimão,Escarola e tomate,Grão de bico ao molho oriental,Hambúrguer artesanal Bolinho de carne,Sopa da casa,Rúcula e cenoura ralada,Trigo em grão à fantasia
