Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-05-07,Chá de hortelã,Pão hotdog com margarina,Maçã ,Moída ao sugo,Espaguete ao alho e óleo,Ponkan,Acelga e beterraba ralada,PTS ao sugo (com cebola e tomate),Bisteca ao molho do chef,Sopa de feijão,Escarola e tomate, Lentilha com batata salsa
2018-05-08,Chá de erva-cidreira,Pão francês com presunto,Banana ,Bisteca acebolada,Repolho refogado,Gelatina de uva,Escarola e cenoura ralada,Arroz com lentilha acebolada,Goulash,Sopa creme rio branco,Alface roxa e abobrinha,Goulashvegano (c/ feijão branco e ingredientes do goulash)
2018-05-09,Chá morango,Pão hotdog com doce de banana,Melancia,Picadinho ao molho de ervilha,Batata amassada c/ TV,Laranja,Alface roxa e rabanete,Ervilha refogada c/ legumes,Bife à milanesa,Caldo italiano,Almeirão e cenoura ralada,Hambúrguer de soja
2018-05-10,Chá de camomila,Pão francês com queijo,Mamão ,Bife ao m. escuro,Abobrinha colorida,Gelflan de morango,Almeirão e tomate,Bolinho defeijão branco com espinafre,Coxa ao molho curry,Sopa eslava,Alface crespa e beterraba cozida,Grão-de-bico com milho
2018-05-11,Chá de maçã,Pão hotdog com doce de leite,Laranja,Frango ao molho sugo (coxa/sob),Polenta cremosa,Melancia,Alface crespa e berinjela ao vinagrete,Grão de bico ao sugo com pimentão e tomate,Kafta,Sopa canja,Agrião e tabule,Kafta de PTS
2018-05-12,Chá de morango,Pão francês com margarina,Banana,Quibe frito,Legumes refogado,Pudim de chocolate,Agrião e pepino,Quibe de berinjela,Arroz carreteiro,Caldo verde,Escarola e cenoura cozida,"Arroz carreteiro vegano (arroz integral, ervilha partida, milho, cenoura e pimentão)"
2018-05-13,Chá de erva-doce,Pão hot dogcompresunto,Maçã,Costela ao molho,Farofa rica,Salada de fruta,Escarola e maionese,Croquete de feijão cavalo (passado na farinha de rosca e frito),Posta recheada (vagem e cenoura),Sopa de aipim,Acelga e chuchu com milho verde,"Abobrinha recheada(tomate, cebola, abobrinha)"
2018-05-14,Chá de erva-cidreira,Pão francês com margarina,Banana,Bife à fantasia,Abobrinha refogada,Maçã,Acelga e cenoura ralada,Feijão branco à fantasia,Filé de frango grelhado,Sopa de abóbora,Agrião e beterraba ralada,Trigo em grão no shoyo
2018-05-15,Chá de morango,Pão hotdog com queijo,Salada de frutas,Cubos de frango ao molho mostarda,Arroz colorido,Mamão picado,Agrião e tomate com cebola,Grão de bico com cenoura ao m. mostarda,Almôndega ao sugo,Sopa califórnia,Escarola e pepino,Almôndega ao sugo (PTS)
2018-05-16,Chá de erva-doce,Pão francês com doce de banana,Laranja,Carne moída refogada,Bolinho de cenoura,Pudim Prestígio,Escarola e abobrinha,Tomate recheado c/ feijão branco temperado com cebola e tempero verde,Peixe à milanesa,Sopa leve,Acelga e Tomate,Nuggets de ervilha partida
2018-05-17,Chá de maçã,Pão hot dog com margarina ,Maçã,Peixe frito no fubá c/ limão,Jardineira de legumes,Gelatina c/ creme,Acelga e beterraba ralada,Bolinho de lentilha,Bife à role,Sopa de batata-salsa,Alface americana e vagem,Berinjela à rolêcom pasta de feijão branco
