Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-03-05,Chá de erva-cidreira,Pão francês com margarina,BANANA,Bisteca ao molho do chef,Repolho refogado,Mamão FATIADO,Alface  americana  e beterraba ralada,LENTILHA AO MOLHO DO CHEF,Ensopado caipira,Sopa de abóbora,Couve e pepino,Soja caipira
2018-03-06,Chá de morango,Pão hot dog com queijo,Maçã,Picadinho de carne,Batata doce corada,Gelatina miscelânea,Escarola e tomate c/ pepino,Feijão cavalo ao sugo,Frango assado/frito,Sopa leve,Alface roxa e beterraba ralada,Charuto de lentilha
2018-03-07,Chá de maçã,Pão francês com doce de banana,Laranja,Frango assado/frito ao m. curry (Poli) demais SEM MOLHO,Ratatouille,Banana ,Almeirão e cenoura ralada ,Hambúrguer de grão de bico,Bife à espanhola ,Sopa califórnia,Agrião e abobrinha ralada,Grão de bico ao shoyu
2018-03-08,Chá de erva-doce,Pão hot dog com margarina ,Abacaxi ,Tirinhas ao molho escuro,Macarrão na manteiga,Melão,"Mix de folhas (escarola, alface, agrião) e rabanete ",PTS ao molho escuro,Filé de frango a pizzaiollo,Sopa de lentilha,Radite e tomate,Torre de berinjela
2018-03-09,Chá de camomila,Pão francês com patê de apresuntado,Melancia ,Frango xadrez,Arroz chop suey,Gelflan ,Radite e tomate,Berinjela xadrez,Quibe ,Sopa juliana,Acelga e beterraba ralada,Quibe de PTS
2018-03-10,Chá de hortelã,Pão hot dog com margarina,maçã,Almôndega ao sugo,Purê misto,Salada de frutas,Repolho bicolor e abobrinha ralada,Almôndega de abóbora com trigo em grão,Lombo grelhado com limão,Sopa de batata salsa,Repolho verde e cenoura ralada,Hamburguer de feijão cavalo
2018-03-11,Chá de erva-cidreira,Pão hot dog com presunto,Banana,Lombo assado,Virado de repolho,Pudim de baunilha c/ calda,Alface americana e rabanete ,Lentilha com cenoura ao  shoyo,Posta recheada,Sopa primavera,Couve e Pepino,Abobrinha recheada
2018-03-12,Chá de erva-doce,Pão hot dog com queijo,Maça,CHURRASCO,FAROFA COMPLETA C/ COUVE,Melão,Acelga e tomate c/ cebola,PTS com batata salsa,Espetinho de frango,Sopa de cenoura,Rúcula e rabanete,Espetinho de legumes
2018-03-13,Chá de maçã,Pão francês com doce de leite,Melão,Frango crocante,Abobrinha c/ milho,Pudim bicolor,Almeirão e cenoura ralada,CROQUETE DE FEIJÃO BRANCO,BIFE AO M. ESCURO,Sopa minestroni,Escarola e chuchu ,Grão de Bico ao m. escuro
2018-03-14,Chá de Morango,Pão hot dog com margarina,Mamão fatiado,Strogonoff de CARNE,Batata chips (industrial???),Gelatina de abacaxi,Escarola e beterraba ralada,STROGONOFF DE BERINJELA,Pernil grelhado com pimentões,Sopa raízes,Alface crespa e tomate,Ervilha refogada com pimentões
2018-03-15,Chá de camomila,Pão francês com presunto,Melancia,Pernil em cubos acebolado,Quirera c/ costelinha,Laranja,Alface e rabanete,Brócolis e couve-flor refogados,Barreado,Sopa caipira,Agrião e tomate  ,Feijão cavalo ao sugo
2018-03-16,Chá de hortelã,Pão hot dog com margarina,Laranja,Goulash ,Macarrão alho e óleo,Melancia,Agrião e pepino,GOULASH DE SOJA EM GRÃO,Filé de frango à canadense,Sopa legumes com macarrão,Almeirão e cenoura ralada,Hambúrguer de soja
2018-03-17,Chá de erva-cidreira,Pão francês com doce de abóbora,Banana,Filé de frango ao molho de mostarda,Legumes refogados,Pudim de chocolate,Almeirão e tomate,BOLINHO DE LENTILHA,Rocambole de carne,Sopa campestre,Alface crespa e rabanete,Almondega de PTS
2018-03-18,Chá de morango,Pão hot dog com margarina,Salada de frutas,Moída ao sugo,Polenta frita,Banana,Alface crespa e Cenoura cozida,Pimentão recheado com PTS,Frango assado (coxa/sobrex),Sopa minestrone II,Acelga e Abobrinha ralada com milho,Trigo em grão refogado
2018-03-19,Chá mate,Pão francês com margarina,Melancia,Sassami grelhado (Poli ao sugo),Creme de milho,Laranja,Almeirão e beterraba ral.,Trigo em grão ao molho escuro,Picadinho especial,Sopa da casa,Alface roxa e tomate,Grão de bico com abóbora
2018-03-20,Chá de erva-doce,Pão hot dog com patê de queijo,Laranja,Carne de panela,Bolinho de cenoura,Salada de frutas,Alface roxa e vagem com cebola,Grão de bico ao curry,Panqueca de frango,Sopa de fubá,Agrião e feijão branco,Panqueca de lentilha
2018-03-21,Chá de camomila,Pão francês com margarina,Melão,Frango Frito com  M. limão,Legumes refogados,Sagu de uva,Agrião pepino,Charuto de lentilha,Bife à rolê,Sopa de mandioca,Acelga e beterraba ralada,Berinjela rolê
2018-03-22,Chá de hortelã,Pão hot dog com doce de maçã ,Mamão,Bife à espanhola,Batata amassada com tempero verde,Torta de amendoim ,Acelga c/ abacaxi e tomate,Feijão cavalo à espanhola,Peixe frito M. Rosê,Sopa londrina,Escarola e pepino,Croquete de soja
2018-03-23,Chá de erva-cidreira,Pão francês com PRESUNTO,Banana,Peixe à milanesa c/ limão,Pirão de peixe,Banana,Alface americana e cenoura ral.,Hambúrguer de soja,Quibe recheado,Sopa creme de milho,Couve e rabanete,Quibe de forma vegano
2018-03-24,Chá de morango,Pão hot dog com doce de leite,Maçã,Costela de panela,Bobó de aipim com bacon,Laranja,Couve e berinjela ao vinagrete,PTS refogado,Frango assado ,Sopa húngara,Rúcula e abobrinha,Tomate recheado com ervilha
2018-03-25,Chá de maçã,Pão hot dog com margarina,Salada de frutas,Frango à paulista,Macarrão alho e óleo,Gelatina miscelânea,Repolho roxo e abobrinha coz.,"Soja chinesa (Brócolis, cenoura e molho shoyu)",Panqueca de carne,Sopa feijão,Radite e beterraba ralada,Panqueca de lentilha e cenoura 
2018-03-26,Chá de camomila,Pão francês Patê de apresuntado,Laranja,Moída ao molho sugo,Polenta cremosa,Maçã,Escarola e tomate,PTS ao sugo,Filé de frango ao molho oriental,Sopa juliana com arroz,Rúcula e berinjela ,Feijão cavalo ao molho oriental
2018-03-27,Chá de morango,Pão hot dog com margarina,Maçã,Filé de frango ao molho mostarda,Arroz colorido,Gelatina de cereja,Rúcula e chuchu cozido,Soja com abóbora,Bife acebolado,Canja,Almeirão e tomate,Hambúrguer de grão de bico
2018-03-28,Chá de maçã,Pão francês com queijo,Banana,Bife a pizzaiollo,Abobrinha colorida,Manjar de coco c/ calda,Almeirão e cenoura ral.,Panqueca de legumes,Frango assado/frito ao molho curry,Sopa eslava,Alface roxa e Chuchu ,Feijão branco com curry
2018-03-29,Chá de erva-cidreira,Pão hot dog com margarina,Mamão,Frango assado/frito (RUC) PEIXE NO FUBÁ AO MOLHO TÁRTARO,"Creme de milho  Brócolis ,cenoura e couve-flor sautée",Mamão picado (RUC) Gelado de abacaxi,Alface roxa e rabanete,Hambúrguer de feijão branco,Madalena (RUC) Croquete de peixe,Sopa caldo verde,Acelga e chuchu c/tomate,Madalena de PTS (RUC) Croquete de ervilha
2018-03-30,Chá de hortelã ,Pão francês com doce de abóbora ,Melão,PEIXE NO FUBÁ AO MOLHO TÁRTARO,BATATA AMASSADA,Banana ,Acelga e beterraba ralada,Creme de ervilha,Croquete de peixe ,Sopa campestre,Radite e cenoura ralada,/ Croquete de grão de bico
2018-03-31,Chá de erva-doce,Pão hot dog com patê de queijo,Salada de frutas,Posta ao molho,Farofa rica,Melancia,Repolho roxo e tomate,Arroz com lentilha e cebola frita,Empadão de frango,Caldo italiano,Alface e rabanete,Empadão de legumes c/ feijão branco
