Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-10-01,Chá de camomila,Pãofrancês com doce de leite,Banana,Carne moída ao sugo,Macarrão alho e óleo,Laranja,Acelga e tomate,Pts ao sugo,Fricassê de frango,Sopa leve,Radite e beterraba ralada,Bolinho de ervilha
2018-10-02,Chá de maçã,Pão hot dog com margarina,Melão,"Frango xadrez (pimentão, tomate, cebola, m. soja)",Berinjela à Milanesa,Maçã,Radite e cenoura ralada,Feijão cavalo xadrez,Tirinhas ao m. escuro (coxão mole),Sopa de raízes,Escarola e Rabanete,Grão de bico ao molho escuro
2018-10-03,Chá de erva doce,Pãofrancês com queijo,Salada de frutas,Bife acebolado,Repolho à portuguesa,Gelatina de cereja,"Escarola e chuchu com milho verde (tinha vagem junto, mas como tem no jantar do dia 04 sugerimos deixar apenas chuchu)",Hambúrguer de soja,File de peixe à milanesa c/ limão,Sopa Londrina,Rúcula e tomate,Croquete de feijão branco
2018-10-04,Chá de morango,Pão hot dog com margarina,Melancia,Filé de peixe no fubá,Purê de batata,Mamão fatiado,Rúcula e pepino,Lentilha refogada,Picadinho,Sopa Húngara,Alface roxa e vagem c/cenoura,Picadinho com trigo em grão
2018-10-05,Chá de erva cidreira,Pãofrancês com presunto,Laranja,Barreado,Farofa de banana,Sagu de vinho,Alface roxa e abobrinha ralada,Barreado desoja em grão,Espetinho de frango,Sopa Creme de Milho,Almeirão e beterraba ralada,Espetinho vegano com feijão cavalo
2018-10-06,Chá de hortelã,Pão hot dog com margarina,Banana,Filé frango m mostarda,Ratatouille,Gelflan,Almeirão e rabanete,Grão de bico m. mostarda,Nhoque a bolonhesa ,Sopa de lentilha (s/ macarrão),Agrião e chuchu,Nhoque vegano c/ PTS
2018-10-07,Chá mate,Pão hot dog com doce de abóbora,Melão,Posta assada ao sugo,Macarrão na manteiga ,Mamão picado,"Agrião e pepino (era mista cozida com vagem, sugerimos deixar apenas pepino)",Escondidinho de ervilha,Bife a espanhola,Sopa Minestroni,Repolho verde e berinjela,Nuggets de trigo em grão
2018-10-08,Chá de erva cidreira,Pãofrancês com queijo,Maça,Churrasco,Cuscuz,Melancia,Repolho verdee cenoura,Feijão fradinho c/ abóbora ,Coxa e sobrecoxa crocante,Sopa de legumes ,Alface crespa e tomate,Hambúrguer de grão de bico
2018-10-09,Chá de morango,Pão hot dog com margarina,Laranja,Frango ao sugo,Polentacremosa,Maçã,Alface crespa e rabanete,Almondega ao sugo (PTS),Bife à rolê,Creme rio branco,Agrião e beterraba ralada (era acelga e macarronese mas como a sopa é branca sugerimos mudar a salada),Berinjela à rolêc/ pasta de ervilha seca
2018-10-10,Chá de erva doce,Pãofrancês com doce de leite,Banana,Bifeàpizzaiolo,Jardineira de legumes,Gelatina de uva,"Agrião e pepino (era acelga e beterraba ralada, mas foi puxada para o jantar e tem beterraba no dia seguinte no almoço)",Soja c/ legumes,Bisteca acebolada,Sopa minestrone I,Acelga ebrócolis c/ couve-flor,Feijão cavalo acebolado
2018-10-11,Chá de maca,Pão hot dog com margarina,Mamão,Bisteca ao molho de pimentão,Bobó de aipim,Laranja,Acelga e beterraba ralada,Charuto recheado com arroz e ervilha,Panqueca de carne,Caldo italiano,Radite e Chuchu c/ milho,"Panqueca(cenoura e ervilha seca) (era de brócolis, mas já tem no dia anterior)"
2018-10-12,Chá de hortelã,Pãofrancês com presunto,Abacaxi,Quibe frito/assado,Abobrinha refogada,Pudim de baunilha c/ calda,Radite e Tomate (já teve pepino na quarta),Quibe de pts,Filé de frango à canadense,Sopa Camponesa,Rúcula e trigo em grão,Croquete de feijão branco
2018-10-13,Chá de camomila,Pão hot dog com margarina,Melão,Filé de frango à milanesa,Creme de milho,Mamão picado,Rúcula e berinjela,Lentilha refogada,Espetinho de carne ,Sopa canja,Escarola e macarronese (era beterraba mas colocamos aqui a macarronese que foi retirada do dia 09),Espetinho legumes c/ PTS
2018-10-14,Chá de morango,Pão hot dog com queijo,Salada de frutas,Cubos de carne ao m. escuro,Batata corada,Espuma de morango,Escarola e Cenoura ralada,Soja a chinesa,Frango assado,Sopa de feijão,Agrião e tomate,"Abobrinha recheada c/ feijão fradinho (triguilho, pois feijão já teve no dia 12)"
2018-10-15,Chá de hortelã,Pãofrancês com margarina,Laranja,Picadinho ao m. de ervilha,Macarrão na manteiga,Maça,Almeirão e beterraba ralada,Ervilha ao molho,Bife a fantasia,Sopa de abóbora,Agrião e vagem,Tomate recheado c/ trigo em grão
2018-10-16,Chá de erva cidreira,Pão hot dog com doce de banana,Mamão,Bife acebolado,Repolho à portuguesa,Pavê de bolacha,Agrião e Rabanete,Bolinho de grão de bico,Risoto de frango,Sopa carne c/ legumes,Couve e beterraba ral,Risoto de grãos
2018-10-17,Chá de camomila,Pãofrancês com presunto,Banana,Frango ao molho curry,Ratatouille,Creme de abacaxi,Couve e chuchu c/ milho,Arroz c/ lentilha e cebola crocante,Barreado,Sopa primavera,Alface crespa e cenoura ralada,Barreado de soja em grão
2018-10-18,Chá de erva doce,Pão hot dog com margarina,Abacaxi,Ensopado caipira,Batata amassada,Salada de frutas,Alface crespa e pepino,Ensopado caipira (c/ soja),Peixe no fubá ao molho rose ,Caldo verde,Acelga e tomate,Bolinho de feijão branco
2018-10-19,Chá de maca,Pãofrancês com doce de leite,Laranja,Peixeà milanesa c/ limão,Legumes refogados,Banana,Radite e tomate,Croquete de grão de bico,Nhoque à bolonhesa*testar nhoque congelado caso não aprove fazer na unidade,Sopa creme de Abóbora c/ curry,Rúcula e tropical,Nhoqueveganoc/ PTS
2018-10-20,Chá de morango,Pão hot dog com margarina,Mamão,Almondega chinesa ,Creme de espinafre,Gelatina de cereja,Rúcula e beterraba,Almôndega chinesa (PTS),Frango assado c/ alecrim,Sopa Juliana,Escarola e berinjela,Charuto com ervilha seca
2018-10-21,Chá mate,Pão hot dog com doce de abobora,Melão,Posta recheada,Macarronada com queijo,Abacaxi,Escarola e cenoura cozida,Chuchu recheado c/lentilha,Puchero ,Sopa londrina,Agrião e tabule,Pucherovegano (grão de bico)
