Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
2018-10-22,Chá de camomila,Pão francês com presunto,Maçã,Bisteca à cigana ,Quirera,Melancia,Agrião e camponesa,Feijão cavalo à cigana,Frango ao molho de laranja,Sopa eslava,Alface roxae rabanete,Abobrinha recheada com trigo em grão
2018-10-23,Chá de erva doce,Pão de hot dog com margarina,Laranja,Filé de frango ao molho oriental,"Brócolis, couve-flor e cenoura refogados (era apenas couve flor e cenoura mas parecido com dia 26)",Banana surpresa,Alface roxa e beterraba,Nuggets de lentilha,Bife à milanesa,Sopa caipira,Almeirão e abobrinha ralada,Grão de bico ao sugo
2018-10-24,Chá de erva cidreira,Pão francês com doce de leite,Mamão,Strogonoff de carne,Batata chips,Maçã,Almeirão e chuchu com milho,Strogonoff de feijão branco,Lombo com abacaxi,Sopa de aipim,Couve e tomate,Feijão fradinho ao alho e óleo
2018-10-25,Chá de morango,Pão hot dog com queijo,Salada de frutas,Barreado,Farofa de banana,Laranja,Acelga e tomate,Barreado vegano (grão de bico),Iscas de frango aceboladas,Sopa mineira,Radite e Abóbora cozida c/ TV,Lentilha com arroz ecebola crocante
2018-10-26,Chá de hortelã,Pão francês com doce de maca,Banana,Frango ao molho branco (cx/sbcx),"Cenoura sauté (era brócolis, couve flor e cenoura refogados mas estava igual dia 23)",Gelatina de abacaxi,Radite e beterraba ralada,Hambúrguer de soja,Almôndegas ao sugo,Sopa da casa,Rúcula e pepino,Almôndega de PTS
2018-10-27,Chá mate,Pão de hot dog com margarina,Maçã,Kafta ao forno,Abobrinha colorida,Pudim,Rúcula e berinjela c/ ervas,Kafta ao forno (PTS),Panqueca de frango ,Sopa Minestrone II,Escarola e cenoura ralada,Panqueca de legumes c/trigo em grão
2018-10-28,Chá de maçã,Pão hot dog com doce de banana,Melancia,Costela ao molho,Aipim frito,Abacaxi,"Escarola e Istambul (pepino, tomate, azeitona)",Ervilha ao molho,Bife à espanhola,Sopa de cenoura,Acelga e brócolis,Croquete de feijão cavalo
2018-10-29,Chá de erva doce,Pão francês com queijo,Laranja,Moída ao sugo,Espaguete na manteiga,Melão,Acelga e cenoura,Trigo em grão ao sugo,Bife suíno ao mol oriental,Sopa leve,Agrião e tomate,Soja ao molho oriental
2018-10-30,Chá mate,Pão hot dog com margarina,Salada de frutas,Bisteca à cigana,Quibebe ,Abacaxi fatiado,Agrião e chuchu com milho,Hambúrguer de feijão branco,Goulash,Sopa Califórnia,Alface americana e berinjela ,Goulashvegano(feijão cavalo)
2018-10-31,Chá de hortelã,Pão hot dog com presunto,Maça,Carne de panela,Batata doce corada,Gelatina de limão,Alface americana e beterraba ralada,Almôndega de PTS ao vinho,Frango chinês,Sopa de fubá com moída,Rúcula e beterraba cozida,Grão de bico chinês 
